id , BZCAT5 Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
47 , 5BZQJ0015-1812 , 3.76033 , -18.21408 , 0.743 ,  , 19.6 , 7211 , 387 ,  , 0.48 , 
48 , 5BZBJ0015+3536 , 3.86654 , 35.611 ,  ,  , 19.8 , 7300 , 11 ,  , 1.42 , 
49 , 5BZQJ0015+1700 , 3.91658 , 17.01139 , 1.709 ,  , 21 , 7211 , 135 ,  ,  , 5e-10
50 , 5BZQJ0016-0015 , 4.04621 , -0.25344 , 1.577 ,  , 19.9 , 7211 , 1086 ,  , 0.23 , 4e-10
51 , 5BZQJ0017+8135 , 4.28525 , 81.58561 , 3.387 ,  , 15.9 , 7211 , 693 ,  , 0.77 , 
52 , 5BZQJ0017-0512 , 4.39921 , -5.21156 , 0.227 ,  , 17.6 , 7211 , 174 ,  , 0.8 , 1.4e-9
53 , 5BZBJ0017+1451 , 4.40375 , 14.85053 , 0.303 ,  , 17.8 , 7300 , 59 ,  ,  , 
54 , 5BZQJ0017-2748 , 4.49583 , -27.80586 , 1.169 ,  , 19.3 , 7211 , 344 ,  ,  , 
55 , 5BZBJ0018+2947 , 4.61579 , 29.79189 , 0.1 ,  ?  , 18.4 , 7300 , 33 ,  , 5.89 , 2e-10
56 , 5BZBJ0019-8152 , 4.83575 , -81.88092 ,  ,  , 16.1 , 7300 , 83 ,  , 0.51 , 9e-10
57 , 5BZBJ0019+2021 , 4.90767 , 20.36272 ,  ,  , 20.3 , 7300 , 983 ,  , 0.17 , 7e-10
58 , 5BZQJ0019+2602 , 4.91575 , 26.04789 , 0.284 ,  , 15.8 , 7211 , 683 ,  , 1.92 , 
59 , 5BZQJ0019-3031 , 4.92783 , -30.522 , 2.677 ,  , 19.3 , 7211 , 507 ,  ,  , 
60 , 5BZQJ0019+7327 , 4.94071 , 73.45842 , 1.781 ,  , 18.2 , 7211 , 1136 , 486 , 0.11 , 
61 , 5BZBJ0021-2550 , 5.38558 , -25.847 ,  ,  , 17.5 , 7300 , 69 ,  , 0.18 , 9e-10
62 , 5BZBJ0021-0900 , 5.42604 , -9.01231 , 0.648 ,  , 19.3 , 7300 , 45 ,  ,  , 
63 , 5BZBJ0022-5140 , 5.50033 , -51.67339 ,  ,  , 15.9 , 7300 , 20 ,  , 3.22 , 4e-10
64 , 5BZGJ0022+0006 , 5.50396 , 0.11611 , 0.306 ,  , 18.6 , 7309 , 2 ,  , 1.01 , 
65 , 5BZQJ0022+4525 , 5.52758 , 45.42614 , 1.897 ,  , 20.7 , 7211 , 345 ,  , 0.59 , 
66 , 5BZBJ0022-1853 , 5.53863 , -18.893 ,  ,  , 18.6 , 7300 , 23 ,  , 0.69 , 9e-10
67 , 5BZBJ0022+0608 , 5.63517 , 6.13456 ,  ,  , 18.5 , 7300 , 340 ,  , 0.25 , 2.2e-9
68 , 5BZUJ0023+4456 , 5.89767 , 44.94328 , 2.023 ,  ?  , 21.7 , 7900 , 140 ,  ,  , 7e-10
69 , 5BZBJ0024+1602 , 6.00529 , 16.04278 ,  ,  , 18.9 , 7300 , 57 ,  ,  , 
70 , 5BZQJ0024+2439 , 6.11387 , 24.65739 , 1.444 ,  , 21.7 , 7211 , 150 ,  ,  , 
71 , 5BZQJ0024+0349 , 6.18837 , 3.81769 , 0.545 ,  , 19.6 , 7211 , 22 ,  ,  , 5e-10
72 , 5BZQJ0024-0412 , 6.1915 , -4.20047 , 1.946 ,  , 20.5 , 7211 , 260 ,  ,  , 
73 , 5BZQJ0025-2227 , 6.35104 , -22.46322 , 0.834 ,  , 18.7 , 7211 , 202 ,  ,  , 
74 , 5BZBJ0026-4601 , 6.64842 , -46.01936 ,  ,  , 17.5 , 7390 , 38 ,  , 8.01 , 
75 , 5BZQJ0026-1112 , 6.71429 , -11.21458 , 1.118 ,  , 19.1 , 7211 , 169 ,  ,  , 
76 , 5BZQJ0027+2241 , 6.81404 , 22.69953 , 1.119 ,  , 16.4 , 7211 , 301 ,  , 0.5 , 
77 , 5BZGJ0027+2607 , 6.8625 , 26.11853 , 0.36 ,  , 18.3 , 7309 , 56 ,  , 0.85 , 
78 , 5BZBJ0028+2408 , 7.14254 , 24.13567 , 0.373 ,  , 18.8 , 7390 , 70 ,  ,  , 
79 , 5BZUJ0028+0035 , 7.166 , 0.59481 , 0.687 ,  , 19.6 , 7900 , 89 ,  ,  , 
80 , 5BZBJ0028-7045 , 7.17308 , -70.75439 ,  ,  , 16.7 , 7300 , 94 ,  ,  , 7e-10
81 , 5BZQJ0029+0509 , 7.26492 , 5.15967 , 1.633 ,  , 18.5 , 7211 , 440 ,  , 0.07 , 
82 , 5BZQJ0029+0554 , 7.44121 , 5.91136 , 1.314 ,  , 18.9 , 7211 , 294 ,  , 0.32 , 
83 , 5BZBJ0030-0000 , 7.53283 , -0.002 ,  ,  , 19.5 , 7300 , 51 ,  ,  , 
84 , 5BZQJ0030-4224 , 7.57287 , -42.41289 , 0.495 ,  , 18.2 , 7211 , 425 ,  , 0.46 , 1e-9
85 , 5BZQJ0031-3922 , 7.85137 , -39.38039 , 1.298 ,  , 19.8 , 7211 , 137 ,  ,  , 
86 , 5BZQJ0031-4108 , 7.86687 , -41.13769 , 0.896 ,  , 18.2 , 7211 , 353 ,  , 0.29 , 
87 , 5BZQJ0032-2649 , 8.13754 , -26.82172 , 1.47 ,  , 18.4 , 7211 , 135 ,  , 0.15 , 
88 , 5BZBJ0032-2849 , 8.13779 , -28.82231 , 0.324 ,  , 16.2 , 7300 , 160 ,  , 0.17 , 
89 , 5BZBJ0033-1921 , 8.39317 , -19.35914 ,  ,  , 16.3 , 7300 , 19 ,  , 8.43 , 3.1e-9
90 , 5BZQJ0034+2754 , 8.68121 , 27.90714 , 2.964 ,  , 18.4 , 7211 , 828 ,  ,  , 
91 , 5BZBJ0035+1515 , 8.81129 , 15.25117 ,  ,  , 16.8 , 7300 , 18 ,  , 3.02 , 1.1e-9
92 , 5BZBJ0035+5950 , 8.96925 , 59.83453 ,  ,  , 17.2 , 7300 , 147 ,  , 5.41 , 2.4e-9
93 , 5BZQJ0036-0932 , 9.02896 , -9.54156 , 1.182 ,  , 18.8 , 7211 , 108 ,  ,  , 
94 , 5BZQJ0037-2145 , 9.31179 , -21.75686 , 2.513 ,  , 19.6 , 7211 , 161 ,  ,  , 
95 , 5BZBJ0037+2141 , 9.34808 , 21.69814 , 0.598 ,  , 20.9 , 7390 , 18 ,  ,  , 
96 , 5BZBJ0037+1238 , 9.462 , 12.63889 ,  ,  , 16 , 7300 , 75 ,  , 0.33 , 1.1e-9
97 , 5BZBJ0038+0013 , 9.53537 , 0.22683 , 0.74 ,  ?  , 19.3 , 7300 , 96 ,  ,  , 4e-10
98 , 5BZQJ0038-2459 , 9.56137 , -24.98394 , 0.498 ,  , 19.1 , 7211 , 413 , 508 , 1.37 , 8e-10
99 , 5BZQJ0038-0329 , 9.58663 , -3.49967 , 1.858 ,  , 17.2 , 7211 , 225 ,  , 0.51 , 
100 , 5BZQJ0038+4137 , 9.6035 , 41.61842 , 1.353 ,  , 20.3 , 7211 , 692 ,  , 0.34 , 
101 , 5BZQJ0038+1856 , 9.62033 , 18.93825 , 1.193 ,  , 19.5 , 7211 , 72 ,  ,  , 
102 , 5BZQJ0039-0942 , 9.77617 , -9.713 , 2.102 ,  , 20.7 , 7211 , 154 ,  ,  , 
103 , 5BZQJ0039-1111 , 9.88158 , -11.184 , 0.552 ,  , 19 , 7211 , 309 ,  , 0.59 , 
104 , 5BZBJ0039+1411 , 9.91504 , 14.19931 , 1.738 ,  ?  , 19.8 , 7390 , 266 ,  ,  , 
105 , 5BZUJ0040+4050 , 10.05754 , 40.83464 ,  ,  , 19.9 , 7900 , 47 ,  , 1.05 , 
106 , 5BZBJ0040-2719 , 10.06837 , -27.31989 , 0.172 ,  , 18 , 7300 , 160 ,  , 2.82 , 
107 , 5BZGJ0040-2340 , 10.10375 , -23.66683 , 0.213 ,  ?  , 17.3 , 7309 , 53 ,  , 0.09 , 
108 , 5BZBJ0040-3225 , 10.12771 , -32.42225 ,  ,  , 19.5 , 7300 , 111 ,  ,  , 
109 , 5BZQJ0040-0146 , 10.24004 , -1.77553 , 1.178 ,  , 18.3 , 7211 , 573 ,  , 0.36 , 
110 , 5BZQJ0042-4030 , 10.505 , -40.51089 , 2.478 ,  , 19.3 , 7211 , 190 ,  ,  , 
111 , 5BZQJ0042+2320 , 10.51896 , 23.33369 , 1.426 ,  , 20.6 , 7211 , 1269 ,  ,  , 8e-10
112 , 5BZBJ0042+3641 , 10.53375 , 36.68694 ,  ,  , 18.5 , 7300 , 12 ,  , 1.52 , 
113 , 5BZQJ0042+1509 , 10.55658 , 15.15428 , 1.159 ,  , 20.7 , 7211 , 156 ,  , 0.36 , 
114 , 5BZQJ0042+1009 , 10.68483 , 10.16375 , 1.657 ,  , 22.1 , 7211 , 232 ,  ,  , 
115 , 5BZUJ0043-2639 , 10.84467 , -26.65167 , 0.451 ,  , 17.3 , 7900 , 78 ,  , 0.37 , 
116 , 5BZQJ0043+0025 , 10.88629 , 0.41667 , 1.128 ,  , 19.2 , 7211 , 123 ,  ,  , 
117 , 5BZQJ0043+3426 , 10.95371 , 34.44053 , 0.966 ,  , 19.9 , 7211 , 93 ,  ,  , 1.9e-9
118 , 5BZQJ0044-3752 , 11.07104 , -37.88311 , 0.483 ,  , 19.3 , 7211 , 19 ,  ,  , 
119 , 5BZQJ0044-8422 , 11.11067 , -84.37778 , 1.032 ,  , 17.8 , 7211 , 530 ,  ,  , 7e-10
120 , 5BZBJ0045+2127 , 11.33033 , 21.46114 ,  ,  , 16.8 , 7300 , 49 ,  , 1.85 , 1.5e-9
121 , 5BZQJ0045-2243 , 11.41496 , -22.73197 , 1.538 ,  , 16.7 , 7211 , 156 ,  , 0.52 , 
122 , 5BZBJ0045+1217 , 11.43054 , 12.28661 ,  ,  , 17.4 , 7300 , 104 ,  , 0.56 , 1e-9
123 , 5BZQJ0046+3900 , 11.69812 , 39.01317 , 0.958 ,  , 20.9 , 7211 , 195 ,  ,  , 
124 , 5BZBJ0047+5657 , 11.75179 , 56.96178 ,  ,  , 18.9 , 7300 , 190 ,  ,  , 2e-9
125 , 5BZBJ0047+2017 , 11.79079 , 20.29153 ,  ,  , 16.9 , 7390 , 100 ,  , 3.18 , 
126 , 5BZQJ0047+2435 , 11.93279 , 24.58775 , 0.62 ,  , 19.6 , 7211 , 268 ,  ,  , 
127 , 5BZQJ0047-8256 , 11.96412 , -82.94706 , 1.112 ,  , 16.8 , 7211 , 204 ,  ,  , 
128 , 5BZBJ0047+3948 , 11.98008 , 39.816 , 0.252 ,  , 17.3 , 7300 , 92 ,  , 0.22 , 
129 , 5BZQJ0048+2235 , 12.01087 , 22.59008 , 1.161 ,  , 18.6 , 7211 , 84 ,  , 0.05 , 1.5e-9
130 , 5BZGJ0048+3157 , 12.19642 , 31.957 , 0.015 ,  , 13.1 , 7309 , 292 ,  , 0.12 , 
131 , 5BZUJ0049-4457 , 12.31917 , -44.95306 , 0.121 ,  , 15.8 , 7900 , 206 ,  , 2.31 , 
132 , 5BZQJ0049-3116 , 12.34537 , -31.27425 , 2.721 ,  , 17.7 , 7211 , 161 ,  ,  , 
133 , 5BZQJ0049-2509 , 12.39054 , -25.15944 , 1.472 ,  , 21.5 , 7211 , 95 ,  , 0.05 , 
134 , 5BZQJ0049+5128 , 12.40813 , 51.47056 , 0.87 ,  , 20.8 , 7211 , 144 , 585 , 0.37 , 
135 , 5BZBJ0049+0237 , 12.43008 , 2.61775 ,  ,  , 18.5 , 7300 , 425 ,  , 0.29 , 7e-10
136 , 5BZQJ0049-5738 , 12.49796 , -57.64075 , 1.797 ,  , 16.5 , 7211 , 2111 ,  , 0.47 , 5e-10
137 , 5BZQJ0050-0452 , 12.58971 , -4.87231 , 0.922 ,  , 19.3 , 7211 , 254 ,  ,  , 5e-10
138 , 5BZBJ0050-0929 , 12.67208 , -9.48469 ,  ,  , 15.8 , 7300 , 814 , 333 , 2.33 , 3.9e-9
139 , 5BZQJ0051-0650 , 12.78417 , -6.83386 , 1.975 ,  , 19.5 , 7211 , 905 , 1073 , 0.27 , 1.2e-9
140 , 5BZQJ0051-4226 , 12.7895 , -42.44244 , 1.749 ,  , 19.5 , 7211 , 676 ,  , 0.23 , 
141 , 5BZBJ0051-6242 , 12.81937 , -62.70122 ,  ,  , 16.7 , 7300 , 43 ,  , 2.89 , 1.4e-9
142 , 5BZQJ0052+4402 , 13.11592 , 44.0485 , 2.624 ,  , 18 , 7211 , 146 ,  ,  , 
143 , 5BZQJ0052-2825 , 13.21892 , -28.43167 , 1.643 ,  , 19 , 7211 , 224 ,  , 0.25 , 
144 , 5BZBJ0054-2455 , 13.69475 , -24.92472 ,  ,  , 16.9 , 7300 , 24 ,  , 1.83 , 4e-10
