id , BZCAT5 Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
736 , 5BZQJ0509+1011 , 77.36442 , 10.19572 , 0.621 ,  , 18.5 , 7211 , 465 ,  , 0.43 , 1.3e-9
737 , 5BZBJ0509-0400 , 77.40892 , -4.01264 , 0.304 ,  , 17.9 , 7390 , 71 ,  , 9.07 , 
738 , 5BZBJ0509-2514 , 77.41608 , -25.23433 , 0.264 ,  , 19 , 7300 , 4 ,  , 1.21 , 
739 , 5BZQJ0510+1800 , 77.50987 , 18.01156 , 0.416 ,  , 19.1 , 7211 , 705 , 644 , 0.38 , 1.2e-9
740 , 5BZQJ0511+1357 , 77.90963 , 13.95531 , 1.696 ,  , 18.9 , 7211 , 503 ,  ,  , 
741 , 5BZQJ0513+0100 , 78.41679 , 1.006 , 2.679 ,  , 19.3 , 7211 , 448 ,  ,  , 
742 , 5BZQJ0513-2159 , 78.45463 , -21.98781 , 1.296 ,  , 19.6 , 7211 , 648 ,  , 0.36 , 
743 , 5BZQJ0514+5602 , 78.57792 , 56.03642 , 2.19 ,  ,  , 7211 , 325 ,  , 0.09 , 
744 , 5BZQJ0515-4556 , 78.93846 , -45.94536 , 0.194 ,  , 16.3 , 7211 , 1471 , 521 , 1.13 , 4e-10
745 , 5BZBJ0515+1527 , 78.94729 , 15.45458 ,  ,  , 18.3 , 7300 , 27 ,  , 0.14 , 1.4e-9
746 , 5BZQJ0516-1603 , 79.06638 , -16.05211 , 1.278 ,  , 16.7 , 7211 , 911 ,  , 0.27 , 
747 , 5BZBJ0516+7351 , 79.13004 , 73.85239 ,  ,  , 18.2 , 7300 , 58 ,  , 0.74 , 4e-10
748 , 5BZBJ0516-6207 , 79.18721 , -62.11817 , 1.3 ,  ?  , 17.5 , 7300 , 418 , 764 , 3.1 , 3.1e-9
749 , 5BZQJ0516-1537 , 79.23829 , -15.61956 , 1.595 ,  , 18.8 , 7211 , 233 ,  ,  , 
750 , 5BZQJ0517-0520 , 79.36713 , -5.34467 , 1.413 ,  , 18.8 , 7211 , 212 ,  ,  , 
751 , 5BZUJ0517+0858 , 79.41687 , 8.97661 , 0.328 ,  , 19 , 7900 , 73 ,  ,  , 
752 , 5BZQJ0517+0648 , 79.46392 , 6.80089 , 0.84 ,  , 19.2 , 7211 , 668 ,  , 0.44 , 
753 , 5BZQJ0521-1737 , 80.34817 , -17.62506 , 0.347 ,  , 17.8 , 7211 , 459 ,  , 0.21 , 5e-10
754 , 5BZBJ0521+2112 , 80.44154 , 21.21431 ,  ,  , 15.5 , 7300 , 530 ,  , 1.4 , 9e-9
755 , 5BZQJ0522+0113 , 80.57279 , 1.22533 , 2.941 ,  , 20.2 , 7211 , 661 ,  ,  , 4e-10
756 , 5BZQJ0522-0725 , 80.59667 , -7.42039 , 0.164 ,  , 14.8 , 7211 , 55 ,  , 2.1 , 
757 , 5BZQJ0522-6107 , 80.64346 , -61.13253 , 1.4 ,  , 18.1 , 7211 , 741 ,  , 0.35 , 
758 , 5BZQJ0522-1627 , 80.68604 , -16.46456 , 1.297 ,  , 17.5 , 7211 , 230 ,  ,  , 
759 , 5BZUJ0522-3627 , 80.74158 , -36.45856 , 0.056 ,  , 14.6 , 7900 , 15620 , 3815 , 10.4 , 4.9e-9
760 , 5BZQJ0523-2614 , 80.82696 , -26.236 , 3.109 ,  , 17.8 , 7211 , 1355 ,  ,  , 
761 , 5BZUJ0525-3343 , 81.27571 , -33.71819 , 4.413 ,  , 18.5 , 7900 , 188 ,  , 0.42 , 
762 , 5BZQJ0525-2338 , 81.27713 , -23.63633 , 3.1 ,  , 17.7 , 7211 , 398 , 418 , 0.27 , 
763 , 5BZQJ0525-4557 , 81.38083 , -45.96519 , 1.479 ,  , 15.8 , 7211 , 2126 ,  , 0.42 , 
764 , 5BZQJ0525-4318 , 81.47871 , -43.30033 , 2.164 ,  , 19.3 , 7211 , 456 ,  ,  , 
765 , 5BZQJ0526-4830 , 81.56946 , -48.51022 , 1.3 ,  , 19.4 , 7211 , 377 , 395 , 0.38 , 1.5e-9
766 , 5BZBJ0527+0331 , 81.88629 , 3.52542 ,  ,  , 17.2 , 7300 , 252 , 489 ,  , 
767 , 5BZUJ0528-5820 , 82.14467 , -58.33814 , 0.254 ,  , 16.3 , 7900 , 282 ,  , 0.25 , 
768 , 5BZQJ0529-0519 , 82.47304 , -5.32822 , 0.685 ,  , 20.3 , 7211 , 103 ,  ,  , 9e-10
769 , 5BZQJ0530-2503 , 82.53317 , -25.05831 , 2.778 ,  , 17.7 , 7211 , 1162 ,  , 0.28 , 
770 , 5BZQJ0530+1331 , 82.73508 , 13.53197 , 2.07 ,  , 18.9 , 7211 , 1556 , 516 , 0.8 , 2.6e-9
771 , 5BZQJ0532-3848 , 83.00858 , -38.81508 , 1.315 ,  , 19.3 , 7211 , 169 ,  ,  , 4e-10
772 , 5BZUJ0532-0307 , 83.03133 , -3.11861 , 1.88 ,  , 20.8 , 7900 , 260 ,  ,  , 
773 , 5BZQJ0532+0732 , 83.1625 , 7.54536 , 1.254 ,  , 17.5 , 7211 , 2729 , 768 , 0.31 , 4.1e-9
774 , 5BZQJ0533+4822 , 83.31612 , 48.38133 , 1.16 ,  , 18.3 , 7211 , 434 , 1014 , 0.23 , 2.9e-9
775 , 5BZQJ0533-8324 , 83.40321 , -83.40947 , 0.774 ,  , 20 , 7211 , 84 ,  ,  , 1.3e-9
776 , 5BZBJ0533-4632 , 83.42008 , -46.5375 , 0.332 ,  , 19.2 , 7300 , 246 ,  , 0.13 , 
777 , 5BZBJ0533-7216 , 83.43629 , -72.27342 ,  ,  , 18.8 , 7300 , 155 ,  ,  , 4e-10
778 , 5BZQJ0534-3747 , 83.57287 , -37.7905 , 1.668 ,  , 20 , 7211 , 736 ,  , 0.2 , 
779 , 5BZQJ0534-6106 , 83.64904 , -61.10197 , 1.997 ,  , 19.6 , 7211 , 451 , 243 , 0.23 , 
780 , 5BZQJ0535-0239 , 83.80108 , -2.65186 , 1.033 ,  , 19 , 7211 , 48 ,  , 0.12 , 
781 , 5BZQJ0536-3401 , 84.11846 , -34.01986 , 0.684 ,  , 17.1 , 7211 , 652 ,  , 0.69 , 
782 , 5BZBJ0536-3343 , 84.12112 , -33.71733 ,  ,  , 16.8 , 7300 , 94 ,  , 4.84 , 2.1e-9
783 , 5BZBJ0537-5718 , 84.454 , -57.30839 ,  ,  , 17.2 , 7300 , 102 ,  , 0.45 , 4e-10
784 , 5BZUJ0538-3908 , 84.54317 , -39.14514 ,  ,  , 17.9 , 7900 , 24 ,  , 0.65 , 6e-10
785 , 5BZBJ0538-4405 , 84.70983 , -44.08581 , 0.892 ,  , 16 , 7300 , 3729 , 5955 , 2.1 , 3.71e-8
786 , 5BZQJ0539-3427 , 84.77271 , -34.45353 , 0.263 ,  , 19.5 , 7211 , 236 ,  , 0.16 , 
787 , 5BZUJ0539-1550 , 84.88337 , -15.84175 , 0.947 ,  ?  , 16.6 , 7900 , 599 ,  , 0.68 , 
788 , 5BZQJ0539+1433 , 84.92654 , 14.56267 , 2.69 ,  , 19.8 , 7211 , 433 , 245 ,  , 
789 , 5BZQJ0539-2839 , 84.97617 , -28.66553 , 3.104 ,  , 19 , 7211 , 862 , 540 , 0.83 , 6e-10
790 , 5BZBJ0540+2507 , 85.05975 , 25.13203 , 0.623 ,  , 19.5 , 7300 , 271 ,  ,  , 
791 , 5BZBJ0540+5823 , 85.12504 , 58.394 ,  ,  , 17.5 , 7300 , 30 ,  , 5.46 , 8e-10
792 , 5BZQJ0540-5418 , 85.19104 , -54.30614 , 1.185 ,  , 17.3 , 7211 , 387 , 430 , 0.2 , 8e-10
793 , 5BZQJ0541+5312 , 85.31738 , 53.20689 , 1.275 ,  , 17.9 , 7211 , 652 ,  , 0.09 , 
794 , 5BZQJ0541-0541 , 85.40867 , -5.69706 , 0.838 ,  , 20.8 , 7211 , 860 ,  , 0.2 , 1.4e-9
795 , 5BZBJ0543-5532 , 85.98837 , -55.53539 , 0.273 ,  , 16.5 , 7300 , 41 ,  , 9.04 , 1.9e-9
796 , 5BZQJ0544-2241 , 86.03154 , -22.68611 , 1.537 ,  , 14.6 , 7211 , 133 ,  , 0.33 , 
797 , 5BZQJ0546-6415 , 86.67433 , -64.25608 , 0.323 ,  , 15.3 , 7211 , 119 ,  , 3.06 , 
798 , 5BZBJ0546-2204 , 86.7365 , -22.08214 , 0.247 ,  , 17.7 , 7390 , 12 ,  , 0.45 , 
799 , 5BZQJ0547-6728 , 86.95925 , -67.46714 , 1.01 ,  , 16.4 , 7211 , 13 ,  , 0.38 , 
800 , 5BZQJ0549-5246 , 87.43254 , -52.77389 , 0.447 ,  , 18.9 , 7211 , 140 , 166 , 0.59 , 
801 , 5BZQJ0550-5732 , 87.53979 , -57.54008 , 2.001 ,  , 18.8 , 7211 , 368 , 603 , 0.63 , 
802 , 5BZGJ0550-3216 , 87.66904 , -32.27147 , 0.069 ,  , 13.1 , 7309 , 345 ,  , 26.3 , 
803 , 5BZQJ0551-1909 , 87.98025 , -19.15583 , 0.73 ,  , 19.9 , 7211 , 81 ,  , 0.27 , 
804 , 5BZBJ0553-2034 , 88.38792 , -20.57186 ,  ,  , 18.2 , 7300 , 233 ,  , 0.68 , 
805 , 5BZQJ0554+6857 , 88.50338 , 68.96511 , 1.373 ,  , 19.7 , 7211 , 97 ,  ,  , 
806 , 5BZQJ0555+3948 , 88.87837 , 39.81367 , 2.365 ,  ?  , 18.1 , 7211 , 1517 , 719 , 0.65 , 
807 , 5BZBJ0556-4351 , 89.07808 , -43.86278 ,  ,  , 19.1 , 7300 , 28 ,  ,  , 6e-10
808 , 5BZQJ0557+2413 , 89.26963 , 24.23203 , 3.228 ,  , 20.7 , 7211 , 830 ,  ,  , 
809 , 5BZQJ0558-1317 , 89.51062 , -13.29478 , 1.725 ,  , 18.9 , 7211 , 947 ,  ,  , 
810 , 5BZBJ0558-3838 , 89.52542 , -38.64153 , 0.302 ,  , 16.1 , 7300 , 105 ,  , 7 , 7e-10
811 , 5BZBJ0558-7459 , 89.69183 , -74.98478 ,  ,  , 16.1 , 7300 , 243 ,  , 0.17 , 7e-10
812 , 5BZQJ0559-4529 , 89.79813 , -45.4945 , 0.687 ,  , 19.1 , 7211 , 384 , 276 , 0.21 , 
813 , 5BZQJ0559+5804 , 89.80579 , 58.06761 , 0.904 ,  , 19.1 , 7211 , 392 ,  ,  , 
814 , 5BZQJ0600-3937 , 90.13079 , -39.61733 , 1.661 ,  , 18.9 , 7211 , 461 , 239 , 1.98 , 
815 , 5BZBJ0601+3838 , 90.26192 , 38.64144 ,  ,  , 19.8 , 7300 , 704 ,  , 0.06 , 7e-10
816 , 5BZQJ0601-7036 , 90.29662 , -70.60244 , 2.409 ,  , 18.5 , 7211 , 212 , 371 , 0.11 , 3.6e-9
817 , 5BZQJ0601+2324 , 90.44733 , 23.41486 , 0.274 ,  , 21.4 , 7211 , 286 ,  ,  , 
818 , 5BZQJ0601-2736 , 90.453 , -27.60611 , 1.664 ,  , 18.5 , 7211 , 151 ,  , 0.14 , 
819 , 5BZQJ0601-2004 , 90.47013 , -20.07922 , 1.216 ,  , 19.8 , 7211 , 63 ,  ,  , 7e-10
820 , 5BZQJ0603+1742 , 90.78804 , 17.70467 , 1.738 ,  , 19.2 , 7211 , 468 ,  , 0.06 , 
821 , 5BZQJ0603-1716 , 90.99054 , -17.2745 , 2.711 ,  , 20 , 7211 , 318 ,  ,  , 
822 , 5BZBJ0604-4817 , 91.036 , -48.29039 ,  ,  , 17.3 , 7300 , 32 ,  , 3.1 , 7e-10
823 , 5BZQJ0604-4225 , 91.10488 , -42.42503 , 0.611 ,  , 20.6 , 7211 , 253 ,  , 0.33 , 
824 , 5BZQJ0604+2429 , 91.22967 , 24.49861 , 1.133 ,  , 18.1 , 7211 , 837 ,  ,  , 
825 , 5BZQJ0606-0724 , 91.68146 , -7.40839 , 1.277 ,  , 19.4 , 7211 , 214 ,  ,  , 
826 , 5BZQJ0606-0024 , 91.73929 , -0.41603 , 1.028 ,  , 19.6 , 7211 , 134 ,  , 0.15 , 
827 , 5BZBJ0607-2518 , 91.80992 , -25.31653 , 0.275 ,  , 17.7 , 7300 , 12 ,  , 1.91 , 
828 , 5BZBJ0607+4739 , 91.84687 , 47.66303 ,  ,  , 16.6 , 7390 , 381 ,  , 0.39 , 2.2e-9
829 , 5BZQJ0607+6720 , 91.96946 , 67.34872 , 1.97 ,  , 20.2 , 7211 , 423 ,  , 0.33 , 
830 , 5BZQJ0607-0834 , 91.99875 , -8.58056 , 0.87 ,  , 15.5 , 7211 , 1905 , 1239 , 0.24 , 1.8e-9
831 , 5BZUJ0608-1520 , 92.00637 , -15.34361 , 1.094 ,  , 20.5 , 7900 , 279 ,  , 0.15 , 2.3e-9
832 , 5BZQJ0608-2220 , 92.24871 , -22.33914 , 1.926 ,  , 20.5 , 7211 , 678 , 456 , 0.12 , 
833 , 5BZBJ0609-0247 , 92.31275 , -2.7985 ,  ,  , 16.9 , 7300 , 62 ,  , 0.31 , 1e-9
834 , 5BZQJ0609-0615 , 92.41642 , -6.25161 , 2.219 ,  , 19.8 , 7211 , 101 ,  ,  , 2e-10
835 , 5BZQJ0609-1542 , 92.42063 , -15.71131 , 0.324 ,  , 15.3 , 7211 , 2742 , 1663 , 0.87 , 
836 , 5BZBJ0610-1847 , 92.57454 , -18.79447 ,  ,  , 17.3 , 7300 , 128 ,  , 0.38 , 6e-10
837 , 5BZQJ0610-6058 , 92.62629 , -60.97725 , 1.773 ,  , 20.1 , 7211 , 350 ,  , 0.21 , 5e-10
838 , 5BZQJ0610-2301 , 92.66163 , -23.02939 , 2.854 ,  , 18.8 , 7211 , 361 ,  ,  , 
839 , 5BZQJ0612-4337 , 93.11921 , -43.63011 , 3.461 ,  , 17.1 , 7211 , 300 ,  , 0.35 , 
840 , 5BZQJ0612-3138 , 93.12358 , -31.6495 , 0.873 ,  , 17.9 , 7211 , 613 ,  , 0.24 , 
841 , 5BZBJ0612+4122 , 93.21325 , 41.37706 ,  ,  , 16.3 , 7300 , 248 ,  , 0.25 , 3.6e-9
842 , 5BZBJ0613+7107 , 93.43054 , 71.12408 , 0.267 ,  , 19.1 , 7300 , 25 ,  , 0.39 , 
843 , 5BZQJ0613+1306 , 93.49037 , 13.11261 , 0.745 ,  , 19.5 , 7211 , 545 ,  , 0.22 , 
844 , 5BZQJ0614-2536 , 93.57171 , -25.61486 , 2.15 ,  , 19 , 7211 , 419 ,  ,  , 
845 , 5BZQJ0614+6046 , 93.59946 , 60.77272 , 2.702 ,  , 18.8 , 7211 , 1182 ,  ,  , 
846 , 5BZBJ0615-3117 , 93.83017 , -31.28931 ,  ,  , 18.8 , 7300 , 173 ,  , 0.16 , 
847 , 5BZQJ0617-2200 , 94.25854 , -22.00781 , 2.316 ,  , 17.8 , 7211 , 216 ,  ,  , 
848 , 5BZBJ0617+5701 , 94.3205 , 57.02122 ,  ,  , 17 , 7300 , 463 ,  , 0.31 , 1.2e-9
849 , 5BZGJ0617-1715 , 94.38921 , -17.25689 , 0.098 ,  , 14.1 , 7309 , 364 ,  , 0.11 , 1.4e-9
850 , 5BZQJ0617+7816 , 94.48725 , 78.26872 , 1.43 ,  , 19.8 , 7211 , 157 ,  , 0.32 , 
851 , 5BZQJ0618+4620 , 94.53425 , 46.33778 , 0.607 ,  , 19.6 , 7211 , 64 , 258 , 0.14 , 
852 , 5BZQJ0618-7843 , 94.62538 , -78.71728 , 0.942 ,  , 17 , 7211 , 214 ,  , 0.36 , 
853 , 5BZUJ0619-1140 , 94.76708 , -11.68192 , 0.97 ,  ?  , 21.5 , 7900 , 508 , 233 , 0.08 , 
854 , 5BZUJ0620-2515 , 95.13383 , -25.25486 , 1.9 ,  ?  , 18.5 , 7900 , 1214 , 337 ,  , 
855 , 5BZBJ0621+1747 , 95.44896 , 17.79308 ,  ,  , 18.6 , 7300 , 12 ,  , 1.32 , 
856 , 5BZBJ0621-3411 , 95.45704 , -34.19706 , 0.529 ,  , 20.2 , 7300 , 8 ,  , 1.84 , 
857 , 5BZUJ0621+3750 , 95.49013 , 37.84917 ,  ,  , 20 , 7900 , 44 ,  ,  , 1.8e-9
858 , 5BZQJ0622-1927 , 95.61892 , -19.45506 , 2.19 ,  , 18 , 7211 , 133 ,  ,  , 
859 , 5BZUJ0622+3326 , 95.71758 , 33.43622 , 1.062 ,  , 18.3 , 7900 , 240 , 260 , 0.21 , 4e-9
860 , 5BZQJ0623-6436 , 95.78204 , -64.60578 , 0.129 ,  , 13.7 , 7211 , 274 , 529 , 5.34 , 
861 , 5BZQJ0623-4413 , 95.88246 , -44.21736 , 0.688 ,  , 16.6 , 7211 , 766 ,  , 0.69 , 
862 , 5BZBJ0623-5257 , 95.90779 , -52.96556 ,  ,  , 17.7 , 7300 , 47 ,  , 0.42 , 
863 , 5BZQJ0624+3856 , 96.07925 , 38.94686 , 3.469 ,  , 19.3 , 7211 , 808 ,  , 0.29 , 
864 , 5BZBJ0624-3230 , 96.18771 , -32.51536 , 0.252 ,  , 19.7 , 7300 , 42 ,  , 0.75 , 
865 , 5BZBJ0625+4440 , 96.32613 , 44.66711 ,  ,  , 17.3 , 7300 , 122 ,  , 1.16 , 8e-10
866 , 5BZQJ0625-5438 , 96.46758 , -54.6475 , 2.051 ,  , 19 , 7211 , 281 ,  , 0.12 , 
867 , 5BZBJ0628-6248 , 97.23954 , -62.81242 ,  ,  , 19.9 , 7300 , 528 ,  ,  , 6e-10
868 , 5BZBJ0629-1959 , 97.349 , -19.98881 ,  ,  , 20.1 , 7300 , 677 , 487 , 0.17 , 2.5e-9
869 , 5BZQJ0630-1323 , 97.72458 , -13.39292 , 1.021 ,  , 18.6 , 7211 , 410 ,  ,  , 
870 , 5BZBJ0630-2406 , 97.74796 , -24.11283 ,  ,  , 16 , 7300 , 105 ,  , 1.12 , 3.4e-9
871 , 5BZQJ0631-4154 , 97.8 , -41.90747 , 1.416 ,  , 18.9 , 7211 , 685 , 343 ,  , 
872 , 5BZQJ0631-1410 , 97.83429 , -14.1755 , 1.017 ,  , 20.2 , 7211 , 467 ,  ,  , 
873 , 5BZQJ0631+5311 , 97.89467 , 53.191 , 2.204 ,  , 19.5 , 7211 , 757 ,  ,  , 
874 , 5BZQJ0632-5404 , 98.00483 , -54.08264 , 0.193 ,  , 16.8 , 7211 , 171 ,  , 2.15 , 
875 , 5BZQJ0632-2614 , 98.02717 , -26.23689 , 0.717 ,  , 19.3 , 7211 , 432 ,  ,  , 
876 , 5BZQJ0632+3200 , 98.12825 , 32.01489 , 1.831 ,  , 19.6 , 7211 , 46 ,  ,  , 
877 , 5BZQJ0633-2223 , 98.3615 , -22.38964 , 1.508 ,  , 18.3 , 7211 , 358 ,  ,  , 
878 , 5BZBJ0635-2620 , 98.83712 , -26.34442 ,  ,  , 19.1 , 7300 ,  , 249 ,  , 
879 , 5BZQJ0635-7516 , 98.94379 , -75.27133 , 0.653 ,  , 15.7 , 7211 , 5283 , 2868 , 2.84 , 1.7e-9
880 , 5BZQJ0636-2113 , 99.0025 , -21.22006 , 1.883 ,  , 19.5 , 7211 , 201 ,  ,  , 
881 , 5BZBJ0639-3346 , 99.83708 , -33.76669 ,  ,  , 20.8 , 7390 , 264 ,  ,  , 
882 , 5BZQJ0639+7324 , 99.8415 , 73.41611 , 1.85 ,  , 18 , 7211 , 903 , 898 , 0.5 , 6e-10
883 , 5BZQJ0642+6758 , 100.51775 , 67.97656 , 3.18 ,  , 16.1 , 7211 , 192 ,  , 0.19 , 
884 , 5BZQJ0642-6150 , 100.69583 , -61.83575 , 1.223 ,  , 19.3 , 7211 , 247 ,  ,  , 
885 , 5BZGJ0643+4214 , 100.8615 , 42.23856 , 0.089 ,  , 14.9 , 7309 , 98 ,  , 10.6 , 
886 , 5BZQJ0644-3459 , 101.10533 , -34.99497 , 2.165 ,  , 17.3 , 7211 , 718 ,  ,  , 
887 , 5BZQJ0644+3914 , 101.22379 , 39.24653 , 1.266 ,  , 19.2 , 7211 , 443 ,  , 0.11 , 
888 , 5BZUJ0645+6024 , 101.2565 , 60.4125 , 0.832 ,  , 17.6 , 7900 , 561 ,  , 0.53 , 9e-10
889 , 5BZQJ0646-3903 , 101.62883 , -39.06086 , 0.681 ,  , 18.4 , 7211 , 290 ,  ,  , 
890 , 5BZQJ0646+4451 , 101.63346 , 44.85461 , 3.396 ,  , 18.3 , 7211 , 452 , 979 , 0.39 , 
891 , 5BZQJ0648-4347 , 102.05592 , -43.78767 , 1.029 ,  , 16.9 , 7211 , 265 ,  , 0.32 , 
892 , 5BZQJ0648-3044 , 102.05875 , -30.73881 , 1.153 ,  , 18.8 , 7211 , 898 ,  , 0.19 , 
893 , 5BZQJ0648-1744 , 102.11871 , -17.73486 , 1.232 ,  , 18.6 , 7211 , 1046 ,  ,  , 1.3e-9
894 , 5BZBJ0648+1516 , 102.19854 , 15.27356 , 0.179 ,  , 16.2 , 7300 , 64 ,  , 6.38 , 1.6e-9
895 , 5BZQJ0649-5920 , 102.36925 , -59.34128 , 2.272 ,  , 19.5 , 7211 , 21 ,  ,  , 
896 , 5BZQJ0650+6001 , 102.63021 , 60.02906 , 0.455 ,  , 19.8 , 7211 , 472 ,  ,  , 
897 , 5BZBJ0650+2502 , 102.69367 , 25.04989 , 0.203 ,  ?  , 16.3 , 7300 , 96 ,  , 13 , 1.8e-9
898 , 5BZQJ0650+5616 , 102.70063 , 56.27625 , 1.427 ,  , 18.5 , 7211 , 198 ,  ,  , 
899 , 5BZQJ0653+3705 , 103.49283 , 37.09461 , 1.982 ,  , 18 , 7211 , 799 ,  ,  , 
900 , 5BZQJ0654+5042 , 103.59204 , 50.70664 , 1.253 ,  ,  , 7211 , 198 ,  , 0.19 , 2.8e-9
901 , 5BZQJ0654+4514 , 103.59879 , 45.23986 , 0.928 ,  ?  , 19.8 , 7211 , 382 , 431 , 0.8 , 3.4e-9
902 , 5BZGJ0654+4247 , 103.68137 , 42.79964 , 0.126 ,  , 14.9 , 7309 , 202 ,  , 0.35 , 
903 , 5BZGJ0656+4237 , 104.04442 , 42.61744 , 0.059 ,  , 11.1 , 7309 , 932 ,  , 1.35 , 
904 , 5BZQJ0656-0323 , 104.04633 , -3.38522 , 0.634 ,  , 19.3 , 7211 , 402 ,  ,  , 3.6e-9
905 , 5BZBJ0656-2403 , 104.09446 , -24.05542 , 0.371 ,  , 19.1 , 7300 , 104 ,  , 0.11 , 
906 , 5BZQJ0657+2423 , 104.27367 , 24.39872 , 1.925 ,  , 19.3 , 7211 , 325 ,  , 0.14 , 
907 , 5BZUJ0658-5840 , 104.55742 , -58.67433 , 0.421 ,  , 20 , 7900 , 436 ,  ,  , 
908 , 5BZQJ0659-2745 , 104.95783 , -27.75522 , 1.727 ,  , 19.9 , 7211 , 541 ,  ,  , 
909 , 5BZBJ0700-6610 , 105.13017 , -66.17922 ,  ,  , 15.1 , 7300 , 288 ,  , 0.45 , 3.9e-9
910 , 5BZQJ0701-4634 , 105.39396 , -46.57683 , 0.822 ,  , 17.8 , 7211 , 459 , 657 , 0.36 , 1.5e-9
911 , 5BZQJ0702+8549 , 105.63633 , 85.83119 , 1.059 ,  , 17.8 , 7211 , 246 ,  , 0.16 , 
912 , 5BZBJ0702-1951 , 105.67875 , -19.85611 ,  ,  , 18 , 7300 , 527 , 340 ,  , 1e-9
913 , 5BZBJ0706+3744 , 106.63204 , 37.74342 ,  ,  , 17.3 , 7300 , 27 ,  , 0.56 , 1e-9
914 , 5BZBJ0706+7741 , 106.71383 , 77.69361 ,  ,  , 17.5 , 7300 , 38 ,  , 0.18 , 1e-9
915 , 5BZBJ0707+6110 , 106.75258 , 61.16989 ,  ,  , 16.4 , 7300 , 425 ,  ,  , 
916 , 5BZBJ0708+2241 , 107.24288 , 22.69319 ,  ,  , 16.7 , 7300 , 41 ,  , 0.69 , 7e-10
917 , 5BZGJ0709+5010 , 107.39246 , 50.18225 , 0.02 ,  , 8.2 , 7309 , 121 ,  , 0.65 , 
918 , 5BZUJ0709-0255 , 107.43771 , -2.92153 ,  ,  , 20.5 , 7900 , 153 , 402 ,  , 1.3e-9
919 , 5BZBJ0710+5908 , 107.62521 , 59.13894 , 0.125 ,  , 15.1 , 7300 , 91 ,  , 13.4 , 8e-10
920 , 5BZQJ0710+4220 , 107.68471 , 42.34861 , 1.163 ,  , 17 , 7211 , 335 ,  , 0.19 , 
921 , 5BZBJ0710+4732 , 107.69208 , 47.53642 , 1.292 ,  ?  , 13.9 , 7300 , 1019 ,  , 0.67 , 8e-10
922 , 5BZBJ0712+5719 , 108.07875 , 57.33 , 0.095 ,  ?  , 20.1 , 7300 , 8 ,  , 1.29 , 
923 , 5BZBJ0712+5033 , 108.182 , 50.55631 ,  ,  , 18.1 , 7300 , 189 ,  , 0.23 , 1.7e-9
924 , 5BZUJ0713+4349 , 108.40904 , 43.82139 , 0.518 ,  , 19.7 , 7900 , 2012 ,  , 0.13 , 
925 , 5BZQJ0713+1935 , 108.48196 , 19.58344 , 0.54 ,  , 18 , 7211 , 219 , 472 , 0.13 , 5.2e-9
926 , 5BZQJ0714+3534 , 108.60342 , 35.57772 , 1.62 ,  , 17.7 , 7211 , 1467 ,  , 0.14 , 
927 , 5BZQJ0717+4538 , 109.46604 , 45.63425 , 0.94 ,  , 17.8 , 7211 , 383 , 381 , 0.32 , 
928 , 5BZBJ0718-4319 , 109.68183 , -43.33047 ,  ,  , 16.5 , 7300 , 85 ,  , 0.37 , 2.5e-9
929 , 5BZQJ0719-6218 , 109.76862 , -62.30067 , 1.247 ,  , 19.4 , 7211 , 286 ,  ,  , 
930 , 5BZQJ0719+3307 , 109.83092 , 33.11936 , 0.779 ,  , 18.2 , 7211 , 226 , 861 , 0.25 , 8.3e-9
931 , 5BZQJ0721+0406 , 110.34962 , 4.11228 , 0.665 ,  , 18.1 , 7211 , 313 ,  , 0.35 , 6e-10
932 , 5BZBJ0721+7120 , 110.47271 , 71.34344 ,  ,  , 14.1 , 7300 , 727 , 2502 , 2.27 , 1.83e-8
933 , 5BZQJ0722+3722 , 110.50521 , 37.37461 , 1.63 ,  , 17.8 , 7211 , 150 ,  ,  , 
934 , 5BZBJ0722-0731 , 110.74867 , -7.52633 ,  ,  , 17.7 , 7300 , 84 ,  , 3.16 , 
935 , 5BZBJ0723+5841 , 110.8085 , 58.68892 ,  ,  , 18.2 , 7390 , 16 ,  , 0.65 , 6e-10
936 , 5BZBJ0723-8247 , 110.91421 , -82.79475 ,  ,  , 20.2 , 7300 , 203 , 188 ,  , 3e-10
937 , 5BZQJ0723+2859 , 110.97846 , 28.99164 , 0.966 ,  , 18.7 , 7211 , 38 ,  ,  , 7e-10
938 , 5BZQJ0724-0715 , 111.07204 , -7.25567 , 0.28 ,  , 17.3 , 7211 , 330 , 382 , 0.77 , 
939 , 5BZBJ0724+2621 , 111.17808 , 26.3585 ,  ,  , 17.4 , 7390 , 4 ,  ,  , 
940 , 5BZQJ0725+1425 , 111.32004 , 14.42047 , 1.038 ,  , 18.1 , 7211 , 1067 , 313 , 0.41 , 1e-9
941 , 5BZUJ0725-0054 , 111.461 , -0.91569 , 0.128 ,  , 16.6 , 7900 , 1399 , 2451 , 3.14 , 1.1e-9
942 , 5BZQJ0726+2153 , 111.55942 , 21.88892 , 1.857 ,  , 17.9 , 7211 , 247 ,  , 0.4 , 5e-10
943 , 5BZQJ0726-4728 , 111.60933 , -47.4815 , 1.686 ,  , 19.2 , 7211 , 490 ,  , 0.16 , 1.1e-9
