id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , Redshift , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
1275 , 3HSPJ140630.2+123620 , 5BZBJ1406+1236 , 211.62579 , 12.60556 , 6.3 , 0.45 , 0.57 , -12? , 0.4 ,  ,  , 2WHSPJ140630.1+123620
1276 , 3HSPJ140635.8-005548 ,  , 211.64933 , -0.93 , 10.8 , 0.255 , 0.17 , -12.1 , 0.32 ,  ,  , 2WHSPJ140635.8-005548
1277 , 3HSPJ140641.0+481824 ,  , 211.6725 , 48.30667 , 7.4 , 0.098 , 0.07 , -12.5 , 0.13 ,  ,  , 2WHSPJ140641.4+481824
1278 , 3HSPJ140642.7+530833 , 5BZBJ1406+5308 , 211.67808 , 53.1425 , 11.4 , 0.458 , 0.07 , -12.8 , 0.06 ,  ,  , 2WHSPJ140642.7+530832
1279 , 3HSPJ140653.5+272606 ,  , 211.72312 , 27.435 , 7.7 , 0.203 , 0.28 , -12.3 , 0.2 ,  ,  , 2WHSPJ140653.5+272605
1280 , 3HSPJ140659.2+164207 , 5BZBJ1406+1642 , 211.74662 , 16.70194 , 8.4 , 0.54 , 0.92 , -11.8 , 0.63 ,  , 1.65 , 2WHSPJ140659.1+164206
1281 , 3HSPJ140705.3+104810 ,  , 211.77208 , 10.80278 , 13.4 , 0.33 , 0.13 , -12.5 , 0.13 ,  ,  , 2WHSPJ140705.2+104810
1282 , 3HSPJ140711.0-184215 ,  , 211.79754 , -18.70417 , 4.7 , 0.33 , 0.12 , -12.5 , 0.13 ,  ,  , 
1283 , 3HSPJ140713.1-070939 ,  , 211.80454 , -7.16083 , 7.5 , 0.45 ,  , -12.4 , 0.16 ,  ,  , 2WHSPJ140713.0-070938
1284 , 3HSPJ140734.1+120941 ,  , 211.89204 , 12.16139 , 3.2 , 0.72 , 0.09 , -12.9 , 0.05 ,  ,  , 2WHSPJ140734.0+120941
1285 , 3HSPJ140848.2+221433 ,  , 212.20063 , 22.2425 , 15.5 , 0.291 ,  , -12.7 , 0.08 ,  ,  , 2WHSPJ140848.1+221432
1286 , 3HSPJ140919.1+135240 , 5BZBJ1409+1352 , 212.32963 , 13.87778 , 7.3 , 0.58 , 0.67 , -12.1? , 0.32 ,  ,  , 2WHSPJ140919.0+135240
1287 , 3HSPJ140923.1+593940 , 5BZBJ1409+5939 , 212.34792 , 59.66111 , 36.6 , 0.496 , 0.24 , -12.3 , 0.2 ,  ,  , 2WHSPJ140923.5+593939
1288 , 3HSPJ140954.9-104857 ,  , 212.47867 , -10.81583 , 38.5 ,  , 0.1 , -12.3 , 0.2 ,  ,  , 2WHSPJ140954.7-104856
1289 , 3HSPJ141003.9+051557 , 5BZBJ1410+0515 , 212.51633 , 5.26583 , 9.5 , 0.544 , 0.04 , -12.7 , 0.08 ,  ,  , 2WHSPJ141003.9+051556
1290 , 3HSPJ141012.4+113547 ,  , 212.55146 , 11.59639 , 3 , 0.52 , 0.16 , -12.5 , 0.13 ,  ,  , 2WHSPJ141012.3+113547
1291 , 3HSPJ141027.1+275954 ,  , 212.61271 , 27.99833 , 8.7 , 0.63 , 0.06 , -12.9 , 0.05 ,  , 1.52 , 2WHSPJ141027.0+275953
1292 , 3HSPJ141029.6+282055 , 5BZBJ1410+2820 , 212.62317 , 28.34861 , 28.9 , 0.521 , 0.44 , -11.9 , 0.5 ,  , 1.97 , 2WHSPJ141029.6+282056
1293 , 3HSPJ141030.8+610012 , 5BZBJ1410+6100 , 212.62846 , 61.00333 , 11.6 , 0.384 , 0.24 , -12.3 , 0.2 ,  ,  , 2WHSPJ141030.7+610011
1294 , 3HSPJ141046.0+740511 ,  , 212.69167 , 74.08639 ,  ,  ,  , -12.4 , 0.16 , 3FHL J1410.8+7406 , 2.16 , 
1295 , 3HSPJ141133.0-072253 ,  , 212.88879 , -7.38139 , 94.5 , 0.32 ,  , -12.4 , 0.16 ,  , 1.9 , 
1296 , 3HSPJ141136.4-024033 ,  , 212.90154 , -2.67583 , 11.9 , 0.28 , 0.12 , -13? , 0.04 ,  ,  , 2WHSPJ141136.3-024032
1297 , 3HSPJ141140.6+340424 , 5BZBJ1411+3404 , 212.919 , 34.07333 , 70.1 , 0.421 , 0.08 , -12.5 , 0.13 ,  ,  , 2WHSPJ141140.4+340423
1298 , 3HSPJ141208.2+383521 ,  , 213.03429 , 38.58917 , 3.2 , 0.45 ,  , -12.8 , 0.06 ,  , 1.85 , 
