id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , Redshift , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
1 , 3HSPJ000116.4+293534 ,  , 0.31821 , 29.59278 , 4 , 0.58 ,  , -12.9? , 0.05 ,  ,  , 2WHSPJ000116.3+293534
2 , 3HSPJ000117.1-315043 ,  , 0.32117 , -31.84528 , 7.2 , 0.45 , 0.23 , -12.3? , 0.2 ,  ,  , 2WHSPJ000116.9-315043
3 , 3HSPJ000132.7-415525 ,  , 0.38642 , -41.92361 , 13.2 ,  , 0.34 , -11.7 , 0.79 ,  , 2.09 , 2WHSPJ000132.6-415524
4 , 3HSPJ000158.1-115047 ,  , 0.49225 , -11.84639 , 3.3 , 0.53 , 0.11 , -12.5 , 0.13 ,  ,  , 2WHSPJ000158.0-115047
5 , 3HSPJ000215.2-672653 ,  , 0.56329 , -67.44806 , 21.4 , 0.52 , 0.27 , -11.8 , 0.63 ,  , 1.95 , 2WHSPJ000215.1-672653
6 , 3HSPJ000236.1-081532 ,  , 0.65025 , -8.25889 , 29 , 0.39 , 0.19 , -12.3 , 0.2 ,  ,  , 2WHSPJ000236.0-081532
7 , 3HSPJ000319.6-524727 ,  , 0.8315 , -52.79083 , 65.3 , 0.37 , 0.64 , -11.9 , 0.5 ,  , 1.9 , 2WHSPJ000319.5-524726
8 , 3HSPJ000513.7-261438 ,  , 1.30717 , -26.24389 , 37.4 , 0.32 ,  , -12.6 , 0.1 ,  ,  , 2WHSPJ000513.6-261438
9 , 3HSPJ000553.0-284503 ,  , 1.47079 , -28.75083 , 5 , 0.57 , 0.07 , -12.5 , 0.13 ,  ,  , 2WHSPJ000552.9-284502
10 , 3HSPJ000626.9+013610 ,  , 1.61208 , 1.60278 , 7.5 , 0.787 , 0.12 , -12.6 , 0.1 ,  , 2.19 , 2WHSPJ000626.8+013610
11 , 3HSPJ000701.6+510500 ,  , 1.75663 , 51.08333 , 4.4 , 0.47 , 0.15 , -12.4 , 0.16 ,  ,  , 2WHSPJ000701.5+510459
12 , 3HSPJ000835.4-233927 , 5BZBJ0008-2339 , 2.14742 , -23.6575 , 36.3 , 0.147 , 0.47 , -11.7 , 0.79 ,  , 1.6 , 2WHSPJ000835.2-233926
13 , 3HSPJ000922.7+503028 , 5BZBJ0009+5030 , 2.34479 , 50.50778 , 12.3 , 0.25 , 0.16 , -11.8 , 0.63 , 2FHL J0009.3+5031 , 1.93 , 2WHSPJ000922.6+503028
14 , 3HSPJ000949.7-431650 ,  , 2.45729 , -43.28056 , 51 , 0.23 , 0.31 , -12 , 0.4 ,  , 2.1 , 2WHSPJ000949.6-431650
15 , 3HSPJ000957.2+134058 ,  , 2.48842 , 13.68278 , 18.6 , 0.43 , 0.29 , -12.1 , 0.32 ,  ,  , 2WHSPJ000957.1+134058
16 , 3HSPJ001011.1+334851 ,  , 2.54875 , 33.81417 , 17.1 ,  , 0.22 , -11.9 , 0.5 ,  ,  , 2WHSPJ001011.7+334851
17 , 3HSPJ001042.7-130817 ,  , 2.67779 , -13.13806 , 2.7 , 0.53 , 0.06 , -12.6 , 0.1 ,  ,  , 2WHSPJ001042.6-130817
18 , 3HSPJ001253.9-162656 ,  , 3.22442 , -16.44889 , 10.1 , 0.35 , 0.08 , -12.3 , 0.2 ,  ,  , 2WHSPJ001253.8-162656
19 , 3HSPJ001328.1+094930 ,  , 3.37 , 9.825 , 31.1 , 0.29 , 0.7 , -11.8 , 0.63 ,  , 2.35 , 2WHSPJ001328.8+094929
20 , 3HSPJ001356.0-185406 , 5BZGJ0013-1854 , 3.4835 , -18.90167 , 29.6 , 0.094 , 2.02 , -11.3 , 2 ,  , 1.94 , 2WHSPJ001355.9-185406
21 , 3HSPJ001411.5-502234 , 5BZBJ0014-5022 , 3.54771 , -50.37611 , 15.1 , 0.01 , 1.12 , -11.6 , 1 ,  , 1.92 , 2WHSPJ001411.3-502233
22 , 3HSPJ001442.1+162126 ,  , 3.67533 , 16.35722 , 5.7 , 0.56 , 0.1 , -12.8? , 0.06 ,  ,  , 2WHSPJ001441.9+162125
23 , 3HSPJ001442.1+580201 , 5BZBJ0014+5802 , 3.67538 , 58.03361 , 7.7 , 0.35 , 0.85 , -11.7? , 0.79 ,  , 1.91 , 
24 , 3HSPJ001528.0+353639 , 5BZBJ0015+3536 , 3.86654 , 35.61083 , 11.2 , 0.43 , 0.52 , -12 , 0.4 ,  , 1.98 , 2WHSPJ001527.8+353638
25 , 3HSPJ001540.1+555144 ,  , 3.91721 , 55.86222 , 85 , 0.15 , 1.1 , -11.2 , 2.51 ,  , 2.11 , 
26 , 3HSPJ001541.9+121845 ,  , 3.92442 , 12.3125 , 6.8 , 0.35 , 0.14 , -12.4 , 0.16 ,  ,  , 2WHSPJ001541.8+121845
27 , 3HSPJ001827.8+294730 , 5BZBJ0018+2947 , 4.61579 , 29.79167 , 33.8 , 0.1 , 1.27 , -11.4 , 1.58 , 2FHL J0018.5+2947 , 1.86 , 2WHSPJ001827.7+294730
28 , 3HSPJ001916.0+053148 ,  , 4.81754 , 5.53 , 4 , 0.467 , 0.06 , -12.9? , 0.05 ,  ,  , 2WHSPJ001916.1+053148
29 , 3HSPJ002200.1-514024 , 5BZBJ0022-5140 , 5.50033 , -51.67333 , 20 , 0.25 , 0.65 , -11.2 , 2.51 ,  , 1.99 , 2WHSPJ002200.0-514023
30 , 3HSPJ002201.0+000658 , 5BZGJ0022+0006 , 5.50396 , 0.11611 , 1.7 , 0.306 , 0.3 , -11.8 , 0.63 , 2FHL J0022.0+0006 , 1.47 , 2WHSPJ002200.9+000657
31 , 3HSPJ002209.6-670510 ,  , 5.53983 , -67.08611 ,  , 0.3 , 0.12 , -12.3? , 0.2 ,  ,  , 2WHSPJ002209.4-670509
32 , 3HSPJ002255.0-341347 ,  , 5.729 , -34.22972 , 12.2 ,  , 0.02 , -12.5 , 0.13 ,  ,  , 2WHSPJ002254.8-341346
33 , 3HSPJ002259.0-244022 ,  , 5.74596 , -24.67278 , 27.4 ,  ,  , -12.1 , 0.32 ,  ,  , 2WHSPJ002258.9-244022
34 , 3HSPJ002611.6-073115 ,  , 6.54842 , -7.52083 , 9.9 , 0.5 ,  , -12.1 , 0.32 ,  , 2.07 , 
35 , 3HSPJ002635.6-460109 , 5BZBJ0026-4601 , 6.64838 , -46.01917 , 38.7 , 0.25 , 1.51 , -11.7 , 0.79 ,  , 2.45 , 2WHSPJ002635.5-460109
36 , 3HSPJ002928.1+205333 ,  , 7.36917 , 20.8925 , 11.4 , 0.367 ,  , -12.3 , 0.2 ,  , 1.46 , 2WHSPJ002928.6+205332
37 , 3HSPJ003020.4-164713 ,  , 7.58508 , -16.78694 , 9.5 , 0.237 , 0.13 , -11.7 , 0.79 ,  , 1.65 , 2WHSPJ003020.4-164712
38 , 3HSPJ003119.1+072453 ,  , 7.83212 , 7.41472 , 12.2 ,  , 0.04 , -11.9 , 0.5 ,  , 1.82 , 
39 , 3HSPJ003120.5-233401 ,  , 7.83558 , -23.56694 , 2.8 , 0.3 , 0.23 , -12.1 , 0.32 ,  , 2.19 , 2WHSPJ003120.5-233400
40 , 3HSPJ003120.8+051333 ,  , 7.83663 , 5.22583 , 9.1 , 0.22 ,  , -12.1 , 0.32 ,  ,  , 2WHSPJ003120.6+051332
41 , 3HSPJ003222.6-472536 ,  , 8.09404 , -47.42667 , 13.2 , 0.44 , 0.14 , -12.2 , 0.25 ,  ,  , 2WHSPJ003222.5-472536
42 , 3HSPJ003322.5-203908 ,  , 8.34362 , -20.65222 , 8.7 , 0.073 , 0.77 , -11.9 , 0.5 ,  ,  , 2WHSPJ003322.3-203907
43 , 3HSPJ003333.2+502956 ,  , 8.38854 , 50.49889 , 16.5 , 0.45 , 0.52 , -12.4 , 0.16 ,  ,  , 2WHSPJ003333.1+502956
44 , 3HSPJ003334.4-192132 , 5BZBJ0033-1921 , 8.39317 , -19.35889 , 18.9 , 0.506 , 1.27 , -11.2 , 2.51 , 2FHL J0033.6-1921 , 1.71 , 2WHSPJ003334.3-192132
45 , 3HSPJ003358.8+390631 ,  , 8.49508 , 39.10861 , 5.7 , 0.58 , 0.18 , -12.5 , 0.13 ,  , 2.53 , 2WHSPJ003358.7+390630
46 , 3HSPJ003514.1+151504 , 5BZBJ0035+1515 , 8.81129 , 15.25111 , 18.8 , 0.64 , 0.33 , -11.4 , 1.58 ,  , 1.81 , 2WHSPJ003514.6+151503
47 , 3HSPJ003532.9-131714 ,  , 8.88708 , -13.28722 , 10.6 ,  , 0.06 , -12.2 , 0.25 ,  ,  , 2WHSPJ003532.8-131713
48 , 3HSPJ003539.6-181651 ,  , 8.91508 , -18.28083 , 40.9 , 0.327 , 0.15 , -11.9 , 0.5 ,  ,  , 2WHSPJ003539.5-181650
49 , 3HSPJ003552.6+595004 , 5BZBJ0035+5950 , 8.96929 , 59.83444 , 148.5 , 0.086 , 2.88 , -10.3 , 19.95 , 2FHL J0035.8+5949 , 1.9 , 
50 , 3HSPJ003631.7-031326 ,  , 9.13204 , -3.22389 , 20.2 , 0.317 , 0.19 , -12.4? , 0.16 ,  ,  , 2WHSPJ003631.6-031326
51 , 3HSPJ003736.2-230225 ,  , 9.401 , -23.04028 , 18.1 , 0.36 , 0.19 , -12.5? , 0.13 ,  ,  , 2WHSPJ003736.1-230225
52 , 3HSPJ003908.2-222001 ,  , 9.78421 , -22.33361 , 117.2 , 0.064 , 1.09 , -11.9 , 0.5 ,  , 1.72 , 2WHSPJ003908.2-222000
53 , 3HSPJ004013.1+405004 , 5BZUJ0040+4050 , 10.05754 , 40.83444 , 48.2 , 0.24 , 1.72 , >-11.5 , 1.26 , 2FHL J0040.3+4049 , 1.13 , 2WHSPJ004013.7+405003
54 , 3HSPJ004040.9-232200 ,  , 10.17029 , -23.36667 , 18.7 , 0.18 ,  , -12 , 0.4 ,  ,  , 2WHSPJ004040.7-232200
55 , 3HSPJ004123.0+375855 ,  , 10.34596 , 37.98194 , 106.9 , 0.38 , 0.11 , -12 , 0.4 ,  , 1.95 , 
56 , 3HSPJ004141.2-160747 ,  , 10.42171 , -16.12972 , 18.3 , 0.43 ,  , -12.5 , 0.13 ,  , 1.64 , 
57 , 3HSPJ004143.2+083318 ,  , 10.43017 , 8.555 , 5.1 , 0.5 , 0.09 , -12.4 , 0.16 ,  ,  , 2WHSPJ004143.1+083317
58 , 3HSPJ004147.0-470136 ,  , 10.44592 , -47.02667 , 16.6 , 0.15 , 0.5 , >-11.8 , 0.63 ,  , 1.73 , 2WHSPJ004146.9-470136
59 , 3HSPJ004202.4-143600 ,  , 10.50992 , -14.6 , 17.6 , 0.5 , 0.06 , -12.6 , 0.1 ,  ,  , 2WHSPJ004202.2-143559
60 , 3HSPJ004208.1+364113 , 5BZBJ0042+3641 , 10.53375 , 36.68694 , 12 , 0.33 , 0.64 , -11.8 , 0.63 ,  , 1.98 , 2WHSPJ004208.0+364112
61 , 3HSPJ004322.1+180846 ,  , 10.845 , 18.14611 , 20.2 , 0.322 , 0.18 , -12.4 , 0.16 ,  ,  , 2WHSPJ004322.8+180845
62 , 3HSPJ004332.5+754518 ,  , 10.88558 , 75.755 , 3 , 0.27 , 0.08 , -12.2 , 0.25 ,  ,  , 2WHSPJ004332.5+754517
63 , 3HSPJ004334.1-044300 ,  , 10.89217 , -4.71667 , 29.8 , 0.48 , 0.47 , -11.8 , 0.63 ,  , 1.73 , 2WHSPJ004334.0-044300
64 , 3HSPJ004348.7-111607 ,  , 10.95271 , -11.26861 , 24.9 , 0.264 , 0.16 , -11.6 , 1 ,  , 1.59 , 2WHSPJ004348.6-111606
65 , 3HSPJ004501.6+051215 ,  , 11.25658 , 5.20417 , 9 , 0.27 , 0.17 , -12.5 , 0.13 ,  ,  , 2WHSPJ004501.4+051215
66 , 3HSPJ004519.3+212740 , 5BZBJ0045+2127 , 11.33033 , 21.46111 , 50.2 , 0.35 , 1.93 , -11.3 , 2 , 2FHL J0045.2+2127 , 1.9 , 2WHSPJ004519.2+212739
67 , 3HSPJ004554.8-172328 ,  , 11.47821 , -17.39111 , 3.8 , 0.096 , 0.23 , -12.1 , 0.32 ,  ,  , 2WHSPJ004554.7-172327
68 , 3HSPJ004603.3+401346 ,  , 11.51362 , 40.22944 , 15 , 0.67 , 0.02 , -12.9 , 0.05 ,  ,  , 2WHSPJ004603.1+401345
69 , 3HSPJ004715.0-811135 ,  , 11.81292 , -81.19306 , 9.4 , 0.3 , 0.13 , -12.4 , 0.16 ,  ,  , 2WHSPJ004715.1-811135
70 , 3HSPJ004752.0+544746 ,  , 11.96687 , 54.79611 , 13.9 , 0.26 , 0.65 , -12 , 0.4 , 2FHL J0048.0+5449 , 1.33 , 
71 , 3HSPJ004755.2+394857 , 5BZBJ0047+3948 , 11.98008 , 39.81583 , 93.2 , 0.252 , 0.11 , -11.9 , 0.5 ,  , 1.88 , 2WHSPJ004755.2+394856
72 , 3HSPJ004859.2+422351 ,  , 12.24646 , 42.3975 , 4.3 , 0.37 ,  , -12.1 , 0.32 ,  , 1.77 , 2WHSPJ004859.0+422351
73 , 3HSPJ004927.8+395003 ,  , 12.366 , 39.83417 , 53.4 , 0.19 ,  , -12.4 , 0.16 ,  ,  , 2WHSPJ004927.7+395003
74 , 3HSPJ004929.9-241844 ,  , 12.37471 , -24.31222 , 10 , 0.49 , 0.12 , -12.4 , 0.16 ,  ,  , 2WHSPJ004929.8-241843
75 , 3HSPJ004938.9-415137 ,  , 12.41204 , -41.86028 , 58.7 , 0.38 , 0.19 , -12 , 0.4 ,  , 2.15 , 2WHSPJ004938.8-415137
76 , 3HSPJ005015.5-461811 ,  , 12.56454 , -46.30306 , 29.9 , 0.33 , 0.06 , -12.5 , 0.13 ,  ,  , 2WHSPJ005015.4-461811
77 , 3HSPJ005040.9-254123 ,  , 12.67058 , -25.68972 , 57.2 , 0.777 , 0.14 , -12.2 , 0.25 ,  ,  , 2WHSPJ005040.9-254122
78 , 3HSPJ005048.5-342850 ,  , 12.70229 , -34.48056 , 6.3 , 0.32 , 0.07 , -12.5 , 0.13 ,  ,  , 2WHSPJ005048.4-342850
79 , 3HSPJ005116.6-624204 , 5BZBJ0051-6242 , 12.81925 , -62.70111 , 43.2 , 0.3 , 0.54 , -11.4 , 1.58 , 2FHL J0051.2-6242 , 1.66 , 2WHSPJ005116.6-624203
80 , 3HSPJ005235.4-574636 ,  , 13.14767 , -57.77667 , 7.8 , 0.256 , 0.14 , -12.2 , 0.25 ,  ,  , 2WHSPJ005235.4-574636
81 , 3HSPJ005347.7-664517 ,  , 13.44892 , -66.75472 , 8.3 , 0.31 ,  , -11.8? , 0.63 ,  , 1.95 , 
82 , 3HSPJ005410.1+473611 ,  , 13.54192 , 47.60306 , 9.3 , 0.5 , 0.88 , -12.3 , 0.2 ,  ,  , 2WHSPJ005410.0+473611
83 , 3HSPJ005425.4-361131 ,  , 13.60596 , -36.19194 , 26.2 , 0.31 , 0.05 , -12.5 , 0.13 ,  ,  , 2WHSPJ005425.3-361130
84 , 3HSPJ005446.7-245529 , 5BZBJ0054-2455 , 13.69475 , -24.92472 , 24.5 , 0.12 , 0.48 , -11.3 , 2 , 2FHL J0054.8-2455 , 1.78 , 2WHSPJ005446.6-245528
85 , 3HSPJ005459.1-351917 ,  , 13.74962 , -35.32139 , 13.3 , 0.057 , 0.1 , -12.4 , 0.16 ,  ,  , 
86 , 3HSPJ005542.1+450701 ,  , 13.92792 , 45.11694 , 4.5 , 0.46 ,  , >-12.5 , 0.13 ,  , 1.77 , 
87 , 3HSPJ005553.6+121733 ,  , 13.97325 , 12.2925 , 27.4 , 0.29 , 0.15 , -12.4 , 0.16 ,  ,  , 2WHSPJ005553.5+121733
88 , 3HSPJ005620.1-093630 , 5BZGJ0056-0936 , 14.08358 , -9.60833 , 200.9 , 0.1 , 0.66 , -11.6 , 1 ,  , 1.79 , 2WHSPJ005619.9-093629
89 , 3HSPJ005758.4+632639 ,  , 14.49325 , 63.44417 , 4.6 , 0.18 ,  , -11.6 , 1 ,  , 1.67 , 
90 , 3HSPJ005808.0-002417 ,  , 14.53417 , -0.40472 , 3.9 , 0.6 , 0.21 , -12.8 , 0.06 ,  ,  , 
91 , 3HSPJ005813.8-142929 ,  , 14.55746 , -14.49139 , 9.4 , 0.3 , 0.15 , -12.4 , 0.16 ,  ,  , 2WHSPJ005813.6-142929
92 , 3HSPJ005816.8+172313 , 5BZBJ0058+1723 , 14.56992 , 17.38694 , 9.4 , 0.42 , 1.55 , -12 , 0.4 ,  , 1.8 , 2WHSPJ005816.6+172312
93 , 3HSPJ005916.9-015017 , 5BZGJ0059-0150 , 14.8205 , -1.83806 , 18.1 , 0.114 , 0.35 , -11.7 , 0.79 ,  , 1.74 , 2WHSPJ005916.9-015017
94 , 3HSPJ005931.5-351049 ,  , 14.88112 , -35.18028 , 102.9 , 0.31 , 0.24 , -12 , 0.4 ,  , 2.02 , 
95 , 3HSPJ010010.7-023451 ,  , 15.04467 , -2.58083 , 11.6 , 0.199 , 0.14 , -12.2 , 0.25 ,  ,  , 2WHSPJ010010.6-023450
96 , 3HSPJ010116.3+273058 ,  , 15.31779 , 27.51611 , 4.6 , 0.5 , 0.08 , -12.7 , 0.08 ,  ,  , 2WHSPJ010116.2+273057
97 , 3HSPJ010142.0-545547 ,  , 15.42504 , -54.92972 , 24.2 , 0.28 ,  , -12.5 , 0.13 ,  , 1.61 , 
98 , 3HSPJ010250.9-200158 ,  , 15.71225 , -20.03278 , 64.9 , 0.27 , 0.41 , -12.2 , 0.25 ,  , 1.55 , 2WHSPJ010250.8-200158
99 , 3HSPJ010325.9+533713 ,  , 15.85787 , 53.62028 , 30.9 , 0.15 , 1.33 , -11.8 , 0.63 ,  , 2.04 , 
100 , 3HSPJ010326.0+152624 , 5BZGJ0103+1526 , 15.85833 , 15.44 , 225.6 , 0.246 ,  , -12.2? , 0.25 ,  , 2.41 , 
101 , 3HSPJ010353.2+351322 ,  , 15.97175 , 35.22278 , 4.1 , 0.45 , 0.17 , -12.4 , 0.16 ,  ,  , 2WHSPJ010353.2+351322
102 , 3HSPJ010501.9+503320 ,  , 16.25779 , 50.55556 , 11.9 , 0.26 , 0.48 , -12.1 , 0.32 ,  ,  , 2WHSPJ010501.8+503320
103 , 3HSPJ010528.1-171222 ,  , 16.36717 , -17.20611 , 7 , 0.147 , 0.21 , -12.4 , 0.16 ,  ,  , 2WHSPJ010528.0-171221
104 , 3HSPJ010547.2+393922 ,  , 16.44662 , 39.65611 , 4.9 , 0.45 , 0.28 , -12.3 , 0.2 ,  , 2.21 , 2WHSPJ010547.0+393921
105 , 3HSPJ010956.6-402050 ,  , 17.48571 , -40.34722 , 96 , 0.313 , 0.4 , -11.9 , 0.5 ,  , 1.73 , 2WHSPJ010956.5-402049
106 , 3HSPJ011004.1+414950 , 5BZGJ0110+4149 , 17.52004 , 41.83056 , 86 , 0.096 , 0.89 , -11.9 , 0.5 ,  ,  , 2WHSPJ011004.7+414950
107 , 3HSPJ011009.7+042420 ,  , 17.54054 , 4.40556 , 62.1 , 0.393 , 0.12 , -12.7? , 0.08 ,  ,  , 2WHSPJ011009.7+042420
108 , 3HSPJ011050.0-125503 , 5BZBJ0110-1255 , 17.70825 , -12.9175 , 17.5 , 0.23 , 0.9 , -11.6 , 1 ,  , 1.93 , 2WHSPJ011049.9-125503
109 , 3HSPJ011130.2+053627 , 5BZBJ0111+0536 , 17.87579 , 5.6075 , 16.7 , 0.346 , 0.83 , -11.9? , 0.5 ,  , 1.92 , 2WHSPJ011130.1+053626
110 , 3HSPJ011231.4-750617 ,  , 18.13083 , -75.10472 , 18.4 , 0.3 ,  , -12.2 , 0.25 ,  , 2.17 , 2WHSPJ011231.3-750616
111 , 3HSPJ011232.8-320141 , 5BZBJ0112-3201 , 18.1365 , -32.02806 , 4.6 , 0.48 , 0.2 , -12.3 , 0.2 ,  ,  , 2WHSPJ011232.6-320141
112 , 3HSPJ011314.3-190807 ,  , 18.30967 , -19.13528 , 23.4 ,  , 0.03 , -12.5 , 0.13 ,  ,  , 2WHSPJ011314.2-190807
113 , 3HSPJ011501.7-340027 , 5BZBJ0115-3400 , 18.75717 , -34.0075 , 6.4 , 0.482 , 0.22 , -11.6 , 1 , 2FHL J0114.9-3359 , 1.49 , 2WHSPJ011501.6-340027
114 , 3HSPJ011533.4-030333 ,  , 18.889 , -3.05917 , 5.4 , 0.536 ,  , -12.8? , 0.06 ,  ,  , 2WHSPJ011533.3-030333
115 , 3HSPJ011546.1+251953 , 5BZBJ0115+2519 , 18.94225 , 25.33139 , 38.3 , 0.375 , 0.31 , -11.7 , 0.79 , 2FHL J0115.8+2519 , 1.99 , 2WHSPJ011546.0+251953
116 , 3HSPJ011555.5-274431 ,  , 18.98108 , -27.74194 , 17.3 , 0.7 , 0.61 , -11.9 , 0.5 ,  , 2.02 , 2WHSPJ011555.3-274430
117 , 3HSPJ011637.1-281146 ,  , 19.15442 , -28.19611 , 54.1 , 0.32 , 0.26 , -12.2 , 0.25 ,  , 2.29 , 2WHSPJ011637.0-281145
118 , 3HSPJ011724.4-222759 ,  , 19.35158 , -22.46639 , 4.8 , 0.116 , 0.23 , -12.3? , 0.2 ,  ,  , 2WHSPJ011724.2-222759
119 , 3HSPJ011747.0-244333 , 5BZBJ0117-2443 , 19.44583 , -24.72583 , 10.3 , 0.279 , 0.46 , -12.1 , 0.32 ,  , 1.75 , 2WHSPJ011746.9-244332
120 , 3HSPJ011823.3+324325 ,  , 19.59696 , 32.72361 , 21 , 0.112 ,  , -12 , 0.4 ,  ,  , 2WHSPJ011823.2+324324
121 , 3HSPJ011828.7-511527 ,  , 19.61975 , -51.2575 ,  , 0.248 , 0.22 , -12.3 , 0.2 ,  ,  , 2WHSPJ011828.6-511527
122 , 3HSPJ011831.0-142957 ,  , 19.63087 , -14.49917 , 29.6 , 0.42 , 0.28 , -11.9 , 0.5 ,  ,  , 2WHSPJ011831.3-142957
123 , 3HSPJ011904.6-145858 ,  , 19.76921 , -14.98278 , 5.5 , 0.29 , 0.63 , -11.7 , 0.79 ,  , 1.79 , 2WHSPJ011904.6-145858
124 , 3HSPJ012048.0+212853 ,  , 20.20129 , 21.48139 , 10.4 , 0.259 , 0.08 , -12.5 , 0.13 ,  ,  , 2WHSPJ012048.3+212853
125 , 3HSPJ012152.7-391544 ,  , 20.46954 , -39.26222 , 17.1 , 0.3 , 0.07 , -12 , 0.4 ,  , 1.8 , 
126 , 3HSPJ012203.8-300509 ,  , 20.51583 , -30.08583 ,  , 0.44 , 0.16 , -12.1? , 0.32 ,  ,  , 
127 , 3HSPJ012308.6+342048 , 5BZBJ0123+3420 , 20.78596 , 34.34667 , 45.7 , 0.27 , 4.49 , -10.8 , 6.31 ,  , 1.48 , 2WHSPJ012308.5+342048
128 , 3HSPJ012338.3-231058 , 5BZBJ0123-2310 , 20.90979 , -23.18278 , 27.6 , 0.404 , 2.13 , -11.1 , 3.16 , 2FHL J0123.7-2308 , 1.99 , 2WHSPJ012338.2-231058
129 , 3HSPJ012340.4+421017 , 5BZGJ0123+4210 , 20.91829 , 42.17139 , 21.4 , 0.186 , 1.49 , -11.7 , 0.79 ,  ,  , 2WHSPJ012340.3+421017
130 , 3HSPJ012430.5+324946 , 5BZBJ0124+3249 , 21.12729 , 32.82944 , 14.8 , 0.36 ,  , -12? , 0.4 ,  ,  , 2WHSPJ012430.4+324945
131 , 3HSPJ012443.7-314342 ,  , 21.18217 , -31.72833 , 13.5 , 0.4 , 0.22 , -12.2 , 0.25 ,  ,  , 2WHSPJ012443.6-314341
132 , 3HSPJ012523.1-292047 ,  , 21.34792 , -29.34639 , 5.4 , 0.63 , 0.05 , -12.5 , 0.13 ,  ,  , 2WHSPJ012523.5-292047
133 , 3HSPJ012629.6-350505 ,  , 21.62317 , -35.08472 , 5.7 , 0.48 ,  , -12.5? , 0.13 ,  ,  , 2WHSPJ012629.5-350504
134 , 3HSPJ012652.2+003308 ,  , 21.71737 , 0.55222 , 1.1 , 0.67 ,  , -12.6 , 0.1 ,  ,  , 2WHSPJ012652.0+003307
135 , 3HSPJ012657.2+330730 , 5BZBJ0126+3307 , 21.73846 , 33.125 , 7.1 , 0.45 , 0.98 , -12.1 , 0.32 ,  , 2.27 , 2WHSPJ012657.1+330730
136 , 3HSPJ012713.9+032300 ,  , 21.80808 , 3.38333 , 16.1 ,  , 0.56 , -11.8 , 0.63 ,  , 1.9 , 2WHSPJ012713.9+032259
137 , 3HSPJ012722.1+211442 ,  , 21.84213 , 21.245 , 10 , 0.35 , 0.12 , -12.6 , 0.1 ,  ,  , 2WHSPJ012722.0+211442
138 , 3HSPJ012750.8-001346 , 5BZBJ0127-0013 , 21.96175 , -0.22944 , 8 , 0.44 ,  , -12.7 , 0.08 ,  ,  , 2WHSPJ012750.8-001345
139 , 3HSPJ012917.9-034402 ,  , 22.32467 , -3.73389 , 4.1 , 0.43 , 0.34 , -12.4 , 0.16 ,  ,  , 2WHSPJ012917.8-034402
140 , 3HSPJ013025.7-212838 ,  , 22.60725 , -21.47722 , 37.5 , 0.3 , 0.03 , -12.2 , 0.25 ,  , 1.94 , 
141 , 3HSPJ013107.2+612033 , 5BZBJ0131+6120 , 22.78013 , 61.3425 , 19.7 ,  , 0.92 , -11.1 , 3.16 , 2FHL J0131.0+6120 , 1.86 , 
142 , 3HSPJ013113.8+554513 ,  , 22.80758 , 55.75361 , 175 , 0.036 , 0.26 , -11.9 , 0.5 ,  , 1.9 , 
143 , 3HSPJ013241.1-080404 ,  , 23.17138 , -8.06778 , 307.6 , 0.149 , 0.86 , -11.7 , 0.79 ,  , 1.75 , 
144 , 3HSPJ013309.3-453524 ,  , 23.28867 , -45.59 , 16.1 ,  , 0.09 , -12.3 , 0.2 ,  , 1.58 , 2WHSPJ013309.4-453524
145 , 3HSPJ013312.1-351916 ,  , 23.30054 , -35.32111 , 11.1 , 0.174 , 0.18 , -12.4? , 0.16 ,  ,  , 2WHSPJ013312.1-351915
146 , 3HSPJ013428.2+263843 , 5BZBJ0134+2638 , 23.61746 , 26.64528 , 30.6 , 0.26 , 0.38 , -11.4 , 1.58 ,  , 1.99 , 2WHSPJ013428.0+263843
147 , 3HSPJ013507.0+025542 ,  , 23.77933 , 2.92833 , 22 , 0.372 , 0.3 , -12.5 , 0.13 ,  , 1.68 , 2WHSPJ013507.0+025541
148 , 3HSPJ013523.6-272813 ,  , 23.84842 , -27.47028 , 8.4 , 0.248 , 0.33 , -12.1 , 0.32 ,  ,  , 2WHSPJ013523.5-272813
149 , 3HSPJ013548.7-201347 ,  , 23.95304 , -20.22972 , 2.6 , 0.37 , 0.21 , -11.9 , 0.5 ,  ,  , 2WHSPJ013548.7-201346
150 , 3HSPJ013626.7+302011 ,  , 24.11121 , 30.33639 , 3.6 , 0.33 ,  , -12.8 , 0.06 ,  ,  , 2WHSPJ013626.5+302011
151 , 3HSPJ013632.6+390559 , 5BZBJ0136+3905 , 24.13579 , 39.09972 , 60.6 ,  , 7.52 , -10.8 , 6.31 , 2FHL J0136.5+3906 , 1.7 , 2WHSPJ013632.5+390558
152 , 3HSPJ013750.5+581411 , 5BZBJ0137+5814 , 24.46029 , 58.23639 , 170.9 ,  , 1.93 , -11 , 3.98 , 2FHL J0138.2+5811 , 2.06 , 
153 , 3HSPJ013801.1+224808 ,  , 24.50467 , 22.80222 , 42.3 , 0.26 ,  , -11.9? , 0.5 ,  , 1.92 , 
154 , 3HSPJ013803.7-215530 ,  , 24.51554 , -21.925 , 17.7 , 0.25 , 0.43 , >-12 , 0.4 ,  ,  , 2WHSPJ013803.7-215530
