id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Power Law Index , Flux 50-100 MeV (ph/cm2/s) , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Signif. Peak , Flux Peak (ph/cm2/s) , Flux Peak Error (ph/cm2/s) , Previous Fermi Association , Other Gamma Catalog Associations , TeVCat Flag , TeV Assoc. Name , Class , Association , Assoc. Probability , R.A. Counterpart , Dec. Counterpart , Counterpart Error
681 , 4FGL J0340.3+4130 , 55.099 , 41.5091 ,  , 7.961e-13 , PLSuperExpCutoff , 2.0355926 , <1.671e-8 , 4.024e-9 , 4.318e-9 , 2.525e-9 , 8.145e-10 , 5.990e-11 , <4.241e-12 , 3.801e-16 , 1.076e-12 , 3.277e-12 , 6.271e-12 , 5.130e-12 , 1.135e-12 , 3.907e-17 ,  ,  ,  , 3FGL J0340.3+4130 ,  , N ,  , PSR , PSR J0340+4130 , 1 , 55.09703826904297 , 41.51258087158203 , 0.0000055328624
682 , 4FGL J0340.4+5302 , 55.1099 , 53.0363 ,  , 2.551e-12 , LogParabola , 2.9236324 , 1.485e-7 , 1.104e-7 , 2.519e-8 , 9.950e-10 , <2.187e-11 , <4.658e-12 , <2.709e-12 , 2.487e-11 , 2.669e-11 , 1.502e-11 , 1.925e-12 , 3.927e-15 , 8.926e-19 , 1.891e-19 ,  ,  ,  , 3FGL J0340.4+5302 ,  , N ,  ,  ,  , 0 ,  ,  , 
683 , 4FGL J0340.4-2422 , 55.1243 , -24.3729 ,  , 3.713e-13 , PowerLaw , 1.9764771 , <2.048e-8 , <2.407e-9 , 5.253e-11 , 1.127e-10 , 5.783e-11 , 8.591e-12 , <4.656e-12 , 5.344e-17 , 1.103e-14 , 3.617e-14 , 2.714e-13 , 3.982e-13 , 2.069e-13 , 4.321e-20 ,  ,  ,  , 3FGL J0340.4-2423 ,  , N ,  , bcu , NVSS J034022-242411 , 0.97979486 , 55.0953712542 , -24.4020466556 , 0.0000058
684 , 4FGL J0340.5-2118 , 55.1477 , -21.3158 ,  , 5.735e-13 , PowerLaw , 2.2631598 , 1.155e-8 , 7.923e-9 , 2.939e-9 , 6.505e-10 , 1.205e-10 , 3.826e-11 , 8.031e-12 , 1.832e-12 , 1.856e-12 , 1.957e-12 , 1.523e-12 , 8.026e-13 , 8.961e-13 , 3.867e-13 ,  ,  ,  , 3FGL J0340.5-2119 ,  , N ,  , bll , PKS 0338-214 , 0.99967873 , 55.1483660583 , -21.3253255833 , 0.000000068
685 , 4FGL J0340.5-0256 , 55.1484 , -2.935 ,  , 5.658e-13 , PowerLaw , 2.240078 , <2.696e-8 , 2.387e-9 , 5.205e-10 , 2.647e-10 , 4.629e-11 , 9.650e-12 , <5.071e-12 , 5.482e-15 , 5.602e-13 , 3.475e-13 , 6.213e-13 , 3.090e-13 , 2.265e-13 , 2.656e-16 ,  ,  ,  ,  ,  , N ,  , bcu , TXS 0338-030 , 0.9966265 , 55.1358153375 , -2.91506399444 , 0.00000015
686 , 4FGL J0341.9+3153c , 55.4852 , 31.8952 ,  , 1.602e-12 , PowerLaw , 2.466326 , 2.414e-8 , 1.571e-8 , 3.831e-9 , 5.762e-10 , 1.336e-10 , <1.067e-11 , 5.727e-12 , 3.797e-12 , 3.608e-12 , 2.493e-12 , 1.323e-12 , 8.688e-13 , 6.099e-15 , 2.562e-13 ,  ,  ,  , 3FGL J0342.3+3148c ,  , N ,  ,  ,  , 0 ,  ,  , 
687 , 4FGL J0342.2+3858 , 55.573 , 38.978 ,  , 6.170e-13 , PowerLaw , 2.2605906 , <2.442e-8 , 6.367e-9 , 1.285e-9 , 2.714e-10 , 8.058e-11 , 1.997e-11 , <4.233e-12 , 1.548e-13 , 1.492e-12 , 8.558e-13 , 6.357e-13 , 5.367e-13 , 4.677e-13 , 1.041e-16 , 11.918903 , 0.00000002923199 , 0.0000000034886762 , 3FGL J0342.2+3857 ,  , N ,  , fsrq , GB6 J0342+3858 , 0.99965805 , 55.5677870375 , 38.9850767361 , 0.00000015
688 , 4FGL J0342.8-3007 , 55.709 , -30.1286 ,  , 3.290e-13 , PowerLaw , 2.0653944 , <7.626e-9 , <1.355e-9 , 1.866e-10 , 1.150e-10 , 5.364e-11 , 3.433e-12 , <5.398e-12 , 1.523e-16 , 1.332e-16 , 1.271e-13 , 2.745e-13 , 3.654e-13 , 8.197e-14 , 3.727e-17 ,  ,  ,  , 3FGL J0342.6-3006 ,  , N ,  , bcu , PKS 0340-302 , 0.9911754 , 55.6680951417 , -30.1328475944 , 0.00000036
689 , 4FGL J0343.2-2529 , 55.8136 , -25.4943 ,  , 6.208e-13 , LogParabola , 2.5044994 , <1.956e-8 , 9.400e-9 , 2.424e-9 , 4.474e-10 , 6.287e-11 , 3.761e-12 , <4.727e-12 , 3.071e-13 , 2.266e-12 , 1.600e-12 , 1.004e-12 , 3.828e-13 , 7.914e-14 , 5.804e-21 , 18.472569 , 0.000000045123425 , 0.0000000035139562 , 3FGL J0343.2-2534 ,  , N ,  , fsrq , PKS 0341-256 , 0.9977389 , 55.8313495667 , -25.5048350306 , 0.00000013
690 , 4FGL J0343.2-6444 , 55.8163 , -64.7349 ,  , 5.951e-13 , PowerLaw , 2.140777 , 8.044e-9 , 2.728e-9 , 2.792e-9 , 6.674e-10 , 2.073e-10 , 2.682e-11 , 1.488e-11 , 1.281e-12 , 6.466e-13 , 1.886e-12 , 1.582e-12 , 1.400e-12 , 6.355e-13 , 7.512e-13 , 14.107594 , 0.000000019644744 , 0.0000000021307127 , 3FGL J0343.3-6443 ,  , N ,  , bll , PMN J0343-6442 , 0.9965384 , 55.83591842651367 , -64.71536254882812 , 0.0045
691 , 4FGL J0343.3-6303 , 55.8456 , -63.0546 ,  , 3.824e-13 , PowerLaw , 2.047086 , <1.450e-8 , 5.077e-9 , 4.595e-10 , 1.620e-10 , 3.280e-11 , 2.194e-11 , 2.014e-12 , 8.122e-14 , 1.214e-12 , 3.138e-13 , 3.875e-13 , 2.240e-13 , 5.247e-13 , 1.055e-13 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
692 , 4FGL J0343.4+3621 , 55.8726 , 36.3564 ,  , 7.656e-13 , PowerLaw , 2.3358555 , 2.012e-8 , 1.014e-8 , 8.903e-10 , 4.697e-10 , 8.545e-11 , 1.193e-11 , <4.998e-12 , 3.180e-12 , 2.357e-12 , 5.879e-13 , 1.092e-12 , 5.642e-13 , 2.774e-13 , 5.996e-23 ,  ,  ,  , 3FGL J0343.3+3622 ,  , N ,  , fsrq , OE 367 , 0.9993924 , 55.8706350792 , 36.370119375 , 0.000000068
693 , 4FGL J0344.2+3203c , 56.0715 , 32.0555 ,  , 1.645e-12 , LogParabola , 2.511487 , <3.507e-8 , 4.802e-9 , 3.995e-9 , 6.109e-10 , 5.987e-11 , 2.065e-11 , <7.573e-12 , 4.644e-15 , 1.215e-12 , 2.689e-12 , 1.353e-12 , 3.487e-13 , 4.102e-13 , 2.153e-17 ,  ,  ,  ,  ,  , N ,  , bcu , 1RXS J034418.2+320903 , 0 , 56.07583999633789 , 32.150970458984375 , 0.009
694 , 4FGL J0344.4+3432 , 56.1212 , 34.5471 ,  , 4.806e-13 , PowerLaw , 1.8254671 , 3.171e-9 , <2.847e-9 , <3.070e-10 , 1.110e-10 , 5.897e-11 , 8.322e-12 , 9.150e-12 , 5.115e-13 , 6.090e-16 , 6.413e-15 , 2.713e-13 , 4.133e-13 , 2.035e-13 , 5.253e-13 ,  ,  ,  ,  ,  , N ,  , bcu , 1RXS J034424.5+343016 , 0.9253984 , 56.102088928222656 , 34.50457763671875 , 0.009
695 , 4FGL J0345.2-2353 , 56.3187 , -23.885 ,  , 6.088e-13 , PowerLaw , 2.492893 , 4.042e-8 , 1.799e-8 , 4.253e-9 , 6.431e-10 , 1.223e-10 , 2.281e-11 , <5.217e-12 , 6.351e-12 , 4.121e-12 , 2.758e-12 , 1.473e-12 , 7.934e-13 , 5.225e-13 , 1.215e-18 ,  ,  ,  , 3FGL J0345.1-2353 ,  , N ,  , bll , NVSS J034518-235218 , 0.9982433 , 56.3263242667 , -23.8723275528 , 0.00000058
696 , 4FGL J0345.5-3301 , 56.3788 , -33.0225 ,  , 3.570e-13 , PowerLaw , 2.3788273 , <7.131e-9 , 3.619e-9 , 5.369e-10 , 1.312e-10 , 2.091e-11 , 1.540e-12 , <8.277e-12 , 1.660e-16 , 8.382e-13 , 3.528e-13 , 3.039e-13 , 1.374e-13 , 3.566e-14 , 6.889e-15 ,  ,  ,  ,  ,  , N ,  , bcu , 2MASS J03453818-3256462 , 0.9507334 , 56.3739836417 , -32.9353737944 , 0.00000078
697 , 4FGL J0346.2+3235 , 56.5696 , 32.5853 ,  , 1.225e-12 , PowerLaw , 2.5610263 , <4.177e-8 , 7.288e-9 , 2.823e-9 , 2.623e-10 , 5.054e-11 , 1.288e-11 , <6.875e-12 , 6.059e-14 , 1.659e-12 , 1.817e-12 , 5.972e-13 , 3.253e-13 , 2.932e-13 , 6.245e-17 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
698 , 4FGL J0347.0+4844 , 56.7527 , 48.7376 ,  , 1.107e-12 , PowerLaw , 2.5659359 , 1.026e-8 , 7.007e-9 , 2.025e-9 , 4.199e-10 , 5.195e-11 , 3.154e-12 , <5.106e-12 , 1.608e-12 , 1.594e-12 , 1.303e-12 , 9.555e-13 , 3.342e-13 , 7.177e-14 , 3.741e-15 ,  ,  ,  ,  ,  , N ,  , fsrq , IVS B0343+485 , 0.99966437 , 56.7983888625 , 48.7104092694 , 0.00000013
699 , 4FGL J0347.0-6400 , 56.7604 , -64.0034 ,  , 1.814e-13 , LogParabola , 2.3204176 , 1.040e-11 , <1.193e-9 , 2.076e-10 , 1.830e-10 , 3.833e-11 , <4.412e-12 , <4.036e-12 , 1.803e-15 , 1.116e-16 , 1.796e-13 , 4.387e-13 , 2.093e-13 , 7.663e-17 , 3.667e-16 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
700 , 4FGL J0348.2+6035 , 57.0541 , 60.5904 ,  , 6.046e-13 , PowerLaw , 1.8285433 , 5.585e-9 , 4.473e-9 , 7.129e-10 , 1.025e-10 , 4.535e-11 , 4.517e-11 , 9.938e-12 , 9.008e-13 , 1.093e-12 , 4.995e-13 , 2.506e-13 , 3.178e-13 , 1.104e-12 , 5.698e-13 ,  ,  ,  , 3FGL J0348.4+6039 ,  , N ,  , bcu , NVSS J034819+603509 , 0.99734914 , 57.0828852625 , 60.5858026833 , 0.0000023
701 , 4FGL J0348.5-2749 , 57.1417 , -27.8303 ,  , 5.282e-13 , PowerLaw , 2.4443772 , <2.124e-8 , 1.230e-8 , 3.194e-9 , 4.759e-10 , 1.257e-10 , 7.057e-12 , 3.036e-12 , 1.421e-14 , 2.830e-12 , 2.083e-12 , 1.095e-12 , 8.198e-13 , 1.624e-13 , 1.368e-13 , 14.804384 , 0.00000003709347 , 0.0000000033574528 , 3FGL J0348.6-2748 ,  , N ,  , fsrq , PKS 0346-27 , 0.99905026 , 57.1589357125 , -27.8204349139 , 0.000000075
702 , 4FGL J0348.6-1609 , 57.1532 , -16.1654 ,  , 5.561e-13 , PowerLaw , 2.3940518 , <1.102e-8 , 1.088e-8 , 2.739e-9 , 4.344e-10 , 1.060e-10 , 3.170e-11 , <5.080e-12 , 5.796e-17 , 2.516e-12 , 1.796e-12 , 1.005e-12 , 6.955e-13 , 7.330e-13 , 1.049e-16 , 10.632048 , 0.000000025898418 , 0.0000000032262355 , 3FGL J0348.7-1606 ,  , N ,  , bll , PKS 0346-163 , 0.99969673 , 57.1636280625 , -16.1715977083 , 0.00000014
703 , 4FGL J0348.8-0828 , 57.2123 , -8.477 ,  , 4.416e-13 , PowerLaw , 2.2656255 , 6.063e-9 , 1.594e-9 , 2.841e-10 , 1.566e-10 , 4.782e-11 , 3.882e-12 , <5.685e-12 , 9.612e-13 , 3.733e-13 , 1.891e-13 , 3.667e-13 , 3.183e-13 , 9.090e-14 , 1.688e-16 ,  ,  ,  ,  ,  , N ,  , bcu , 2MASS J03485302-0824226 , 0.970658 , 57.1901456042 , -8.40692913056 , 0.00000064
704 , 4FGL J0348.8+4610 , 57.2185 , 46.1695 ,  , 8.399e-13 , LogParabola , 2.6071386 , 1.609e-8 , 4.273e-9 , 2.489e-9 , 1.892e-10 , 1.219e-11 , 3.107e-14 , <4.901e-12 , 2.789e-12 , 1.223e-12 , 1.698e-12 , 3.848e-13 , 6.366e-14 , 5.890e-16 , 1.825e-17 ,  ,  ,  ,  ,  , N ,  , bcu , B3 0345+460 , 0.99446344 , 57.3280899167 , 46.1665716222 , 0.000000068
705 , 4FGL J0349.4-1159 , 57.3539 , -11.9941 ,  , 5.609e-13 , PowerLaw , 1.7618284 , 4.009e-9 , 3.018e-9 , 4.375e-10 , 8.498e-11 , 1.195e-10 , 4.282e-11 , 1.154e-11 , 6.484e-13 , 7.426e-13 , 3.090e-13 , 2.091e-13 , 8.442e-13 , 1.053e-12 , 6.807e-13 ,  ,  ,  , 3FGL J0349.2-1158 ,  , P , 1ES 0347-121 , bll , 1ES 0347-121 , 0.9998331 , 57.34661065 , -11.9909314583 , 0.0000019
706 , 4FGL J0349.8-2103 , 57.4699 , -21.0576 ,  , 7.067e-13 , LogParabola , 2.4943128 , 1.104e-8 , 2.620e-8 , 6.362e-9 , 1.082e-9 , 1.242e-10 , 1.103e-11 , <5.346e-12 , 1.786e-12 , 6.273e-12 , 4.164e-12 , 2.411e-12 , 7.501e-13 , 2.305e-13 , 3.267e-16 , 29.798193 , 0.000000084104094 , 0.000000004119689 , 3FGL J0349.9-2102 ,  , N ,  , fsrq , PKS 0347-211 , 0.99872965 , 57.4909444792 , -21.0465948722 , 0.000000068
707 , 4FGL J0350.0+0640 , 57.5043 , 6.6754 ,  , 4.538e-13 , PowerLaw , 1.586677 , 1.530e-8 , 2.681e-10 , 3.882e-10 , 3.443e-11 , 1.924e-11 , 1.098e-11 , 1.535e-11 , 2.491e-12 , 6.714e-14 , 2.800e-13 , 8.621e-14 , 1.388e-13 , 2.750e-13 , 9.759e-13 ,  ,  ,  ,  ,  , N ,  , bcu , RX J0350.0+0640 , 0.9995244 , 57.49879837036133 , 6.682199954986572 , 0.0045
708 , 4FGL J0350.4-5144 , 57.6127 , -51.7434 ,  , 3.515e-13 , PowerLaw , 1.8529009 , 2.748e-9 , <1.253e-9 , 1.763e-10 , 8.719e-11 , 3.835e-11 , 1.602e-11 , 6.018e-12 , 4.427e-13 , 5.539e-15 , 1.231e-13 , 2.126e-13 , 2.679e-13 , 3.907e-13 , 3.415e-13 ,  ,  ,  ,  ,  , N ,  , bcu , 1RXS J035037.0-514457 , 0 , 57.65415954589844 , -51.74930953979492 , 0.009
709 , 4FGL J0350.8-2814 , 57.71 , -28.2494 ,  , 4.442e-13 , PowerLaw , 1.7221655 , 2.160e-8 , <1.856e-9 , 1.212e-10 , 1.302e-10 , 2.113e-11 , 3.295e-11 , 6.494e-12 , 3.499e-12 , 1.184e-16 , 8.599e-14 , 3.216e-13 , 1.499e-13 , 8.140e-13 , 3.895e-13 ,  ,  ,  , 3FGL J0351.0-2816 ,  , N ,  , bcu , GALEXASC J035051.31-281633.0 , 0.99809825 , 57.71383285522461 , -28.27577781677246 , 0.009
710 , 4FGL J0352.0-2516 , 58.0034 , -25.2733 ,  , 3.801e-13 , PowerLaw , 2.392551 , <2.127e-8 , 4.733e-9 , 4.484e-10 , 4.921e-11 , 3.363e-11 , 3.150e-12 , <4.808e-12 , 6.690e-14 , 1.095e-12 , 2.942e-13 , 1.138e-13 , 2.206e-13 , 7.287e-14 , 1.025e-19 ,  ,  ,  ,  ,  , N ,  , bcu , TXS 0350-253 , 0.9935676 , 58.0460515417 , -25.2472965556 , 0.00000018
711 , 4FGL J0352.9-3623 , 58.2326 , -36.391 ,  , 4.546e-13 , PowerLaw , 1.6213902 , 6.485e-9 , 5.916e-10 , <1.359e-10 , 9.717e-11 , 2.386e-11 , 3.646e-11 , 9.894e-12 , 1.055e-12 , 1.476e-13 , 3.359e-18 , 2.424e-13 , 1.714e-13 , 9.097e-13 , 6.197e-13 ,  ,  ,  , 3FGL J0353.0-3622 ,  , N ,  , bll , XRS J0353-3623 , 0.998332 , 58.27119827270508 , -36.38560104370117 , 0.0045
712 , 4FGL J0353.0+5654 , 58.272 , 56.9026 ,  , 8.272e-13 , PowerLaw , 2.1269276 , <2.829e-8 , <5.533e-9 , 1.223e-9 , 3.654e-10 , 9.224e-11 , 2.883e-11 , 7.270e-12 , 3.207e-16 , 2.559e-15 , 8.274e-13 , 8.672e-13 , 6.239e-13 , 6.841e-13 , 3.689e-13 , 6.4491563 , 0.000000013001891 , 0.0000000029791616 , 3FGL J0352.9+5655 ,  , N ,  , bll , GB6 J0353+5654 , 0.99996895 , 58.2898886375 , 56.9085921778 , 0.00000035
713 , 4FGL J0353.0-6831 , 58.2738 , -68.5282 ,  , 5.153e-13 , PowerLaw , 1.6322502 , 7.831e-9 , 2.330e-10 , 5.565e-10 , 9.082e-11 , 6.209e-11 , 2.973e-11 , 2.878e-11 , 1.273e-12 , 5.808e-14 , 3.992e-13 , 2.264e-13 , 4.454e-13 , 7.409e-13 , 1.794e-12 ,  ,  ,  , 3FGL J0353.0-6831 ,  , N ,  , bll , PKS 0352-686 , 0.999943 , 58.2400016784668 , -68.52140045166016 , 0.0045
714 , 4FGL J0353.7+8257 , 58.4405 , 82.9604 ,  , 3.829e-13 , PowerLaw , 1.6320773 , <1.210e-8 , <1.097e-9 , 1.615e-10 , 2.604e-11 , 6.216e-11 , 9.645e-12 , 1.041e-11 , 3.002e-15 , 1.925e-18 , 1.158e-13 , 6.490e-14 , 4.459e-13 , 2.404e-13 , 6.490e-13 ,  ,  ,  ,  ,  , N ,  , bll , WN B0343.1+8247 , 0.9964685 , 58.2855164958 , 82.9420708667 , 0.00000089
715 , 4FGL J0354.4+4643 , 58.609 , 46.7231 ,  , 1.194e-12 , PowerLaw , 2.5613816 , 1.402e-8 , 1.918e-8 , 4.416e-9 , 6.470e-10 , 1.298e-10 , 1.380e-11 , <4.352e-12 , 2.197e-12 , 4.366e-12 , 2.843e-12 , 1.473e-12 , 8.354e-13 , 3.142e-13 , 2.439e-16 , 8.459985 , 0.00000004804624 , 0.0000000064263173 , 3FGL J0354.1+4643 ,  , N ,  , bcu , B3 0350+465 , 0.9985013 , 58.6250485667 , 46.7218749944 , 0.000000082
716 , 4FGL J0354.7+8009 , 58.6919 , 80.1647 ,  , 4.549e-13 , PowerLaw , 2.2859538 , 2.146e-9 , 2.355e-9 , 1.264e-9 , 3.167e-10 , 6.091e-11 , 1.413e-11 , <3.775e-12 , 3.399e-13 , 5.504e-13 , 8.396e-13 , 7.400e-13 , 4.045e-13 , 3.302e-13 , 1.910e-16 , 20.14523 , 0.000000048959066 , 0.000000003577089 , 3FGL J0354.6+8011 ,  , N ,  , bll , S5 0346+80 , 0.99981236 , 58.692191975 , 80.1580130556 , 0.00000011
717 , 4FGL J0355.1-1841 , 58.7773 , -18.6928 ,  , 3.634e-13 , PowerLaw , 1.9500072 , 4.857e-8 , 9.792e-10 , 1.148e-10 , 8.742e-11 , 5.267e-11 , <6.622e-12 , 6.847e-12 , 7.797e-12 , 2.365e-13 , 7.928e-14 , 2.111e-13 , 3.638e-13 , 1.706e-17 , 3.732e-13 ,  ,  ,  ,  ,  , N ,  , bcu , NVSS J035513-184309 ,  , 58.8053834625 , -18.7190497056 , 0.00000071
718 , 4FGL J0355.3+3909 , 58.834 , 39.1665 ,  , 5.954e-13 , PowerLaw , 1.9524064 , <2.055e-8 , <3.927e-9 , 4.401e-10 , 1.860e-10 , 2.809e-11 , 1.253e-11 , 5.769e-12 , 1.133e-13 , 1.752e-15 , 3.039e-13 , 4.491e-13 , 1.939e-13 , 3.025e-13 , 3.141e-13 ,  ,  ,  ,  ,  , N ,  , bcu , CRATES J035515+390907 , 0.9979039 , 58.8191272625 , 39.1527238167 , 0.00000034
719 , 4FGL J0356.1-1329 , 59.0313 , -13.486 ,  , 3.895e-13 , PowerLaw , 2.0239987 , 6.552e-9 , 1.184e-9 , 2.313e-10 , 1.046e-10 , 4.429e-11 , 1.373e-11 , <5.050e-12 , 1.049e-12 , 2.839e-13 , 1.583e-13 , 2.508e-13 , 3.032e-13 , 3.290e-13 , 7.414e-19 ,  ,  ,  ,  ,  , N ,  , bcu , 1RXS J035610.7-132833 , 0.9943691 , 59.044578552246094 , -13.475970268249512 , 0.00000071
720 , 4FGL J0357.0-4955 , 59.2608 , -49.9326 ,  , 4.265e-13 , PowerLaw , 2.1343212 , 1.775e-8 , 2.046e-9 , 1.393e-9 , 3.305e-10 , 8.107e-11 , 2.368e-11 , 2.643e-12 , 2.828e-12 , 4.852e-13 , 9.416e-13 , 7.838e-13 , 5.479e-13 , 5.616e-13 , 1.338e-13 ,  ,  ,  , 3FGL J0357.1-4957 ,  , N ,  , bll , PKS 0355-500 , 0.9997677 , 59.2507743917 , -49.9301731944 , 0.0000057
721 , 4FGL J0357.2+2320 , 59.3015 , 23.347 ,  , 5.741e-13 , PowerLaw , 2.2519643 , 3.162e-8 , 4.299e-9 , 9.925e-10 , 1.589e-10 , 6.383e-11 , 1.174e-11 , 1.566e-12 , 5.015e-12 , 1.008e-12 , 6.617e-13 , 3.725e-13 , 4.255e-13 , 2.752e-13 , 7.571e-14 ,  ,  ,  , 3FGL J0357.1+2325 ,  , N ,  , bcu , MG3 J035721+2319 , 0.9991275 , 59.340041175 , 23.3316182167 , 0.000000088
722 , 4FGL J0357.2-0319 , 59.3234 , -3.3225 ,  , 5.157e-13 , PowerLaw , 1.6667873 , 5.167e-9 , <1.866e-9 , <1.289e-10 , 1.462e-10 , 3.160e-11 , 2.018e-11 , 1.506e-11 , 8.388e-13 , 6.567e-17 , 1.881e-17 , 3.631e-13 , 2.257e-13 , 5.012e-13 , 9.251e-13 ,  ,  ,  ,  ,  , N ,  , bcu , 1RXS J035725.7-031740 , 0.97810876 , 59.3587559 , -3.299860875 , 0.00000078
723 , 4FGL J0357.6-4625 , 59.4135 , -46.4173 ,  , 3.525e-13 , PowerLaw , 2.3037946 , <9.139e-9 , 1.611e-9 , 6.151e-10 , 1.696e-10 , 5.318e-11 , 3.181e-12 , <4.330e-12 , 3.483e-14 , 3.759e-13 , 4.076e-13 , 3.956e-13 , 3.524e-13 , 7.421e-14 , 2.041e-20 ,  ,  ,  ,  ,  , N ,  , bcu , 2MASS J03573680-4625481 , 0.9957609 , 59.3696529208 , -46.42867695 , 0.00000069
724 , 4FGL J0357.8+3204 , 59.4605 , 32.0833 ,  , 1.245e-12 , PLSuperExpCutoff , 2.2941928 , 4.519e-8 , 5.135e-8 , 3.256e-8 , 8.279e-9 , 5.100e-10 , 1.524e-12 , <3.682e-12 , 7.580e-12 , 1.353e-11 , 2.327e-11 , 1.822e-11 , 2.662e-12 , 2.889e-14 , 1.203e-19 ,  ,  ,  , 3FGL J0357.9+3206 ,  , N ,  , PSR , PSR J0357+3205 , 1 , 59.46879959106445 , 32.090301513671875 , 0.00014868843
725 , 4FGL J0358.0-6946 , 59.5162 , -69.7806 ,  , 4.800e-13 , PowerLaw , 2.5500247 , <1.494e-8 , 4.824e-9 , 3.555e-10 , 1.722e-10 , 2.605e-11 , <4.240e-12 , <3.913e-12 , 5.495e-15 , 1.099e-12 , 2.291e-13 , 3.924e-13 , 1.679e-13 , 2.004e-17 , 7.583e-18 ,  ,  ,  , 3FGL J0356.3-6948 ,  , N ,  , bcu , PMN J0357-6948 , 0.9910465 , 59.3753437708 , -69.8125040694 , 0.00000031
726 , 4FGL J0358.1+2850 , 59.5277 , 28.8479 ,  , 4.560e-13 , LogParabola , 2.5685651 , <1.061e-8 , 2.947e-9 , 6.613e-10 , 2.378e-10 , <1.199e-11 , 3.128e-12 , <4.474e-12 , 7.029e-18 , 8.594e-13 , 4.815e-13 , 4.909e-13 , 2.730e-21 , 5.929e-14 , 7.209e-18 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
727 , 4FGL J0358.1-5954 , 59.5388 , -59.908 ,  , 3.521e-13 , PowerLaw , 2.3265533 , 3.505e-9 , 2.918e-9 , 5.601e-10 , 1.709e-10 , 3.075e-11 , 3.097e-12 , <5.400e-12 , 5.543e-13 , 6.793e-13 , 3.702e-13 , 3.977e-13 , 2.032e-13 , 7.209e-14 , 2.095e-16 ,  ,  ,  ,  ,  , N ,  , bll , AT20G J035814-595233 , 0.9869247 , 59.55833053588867 , -59.875919342041016 , 0.0045
728 , 4FGL J0358.6+0634 , 59.6656 , 6.5759 ,  , 7.462e-13 , PowerLaw , 2.560525 , <2.511e-8 , 2.817e-9 , 2.360e-9 , 2.375e-10 , 6.268e-11 , <5.541e-12 , <6.908e-12 , 2.770e-15 , 6.414e-13 , 1.519e-12 , 5.406e-13 , 4.035e-13 , 8.413e-17 , 3.064e-16 , 6.849263 , 0.000000029989454 , 0.0000000049358837 , 3FGL J0358.7+0633 ,  , N ,  , bcu , PMN J0358+0629 , 0.9367982 , 59.613121032714844 , 6.488719940185547 , 0.0045
729 , 4FGL J0358.7+7649 , 59.676 , 76.8323 ,  , 4.068e-13 , PowerLaw , 2.161698 , 1.937e-8 , 8.221e-10 , 2.297e-10 , 1.869e-10 , 4.567e-11 , 5.908e-12 , 1.739e-12 , 3.083e-12 , 1.944e-13 , 1.548e-13 , 4.420e-13 , 3.077e-13 , 1.397e-13 , 8.705e-14 ,  ,  ,  , 3FGL J0359.7+7649 ,  , N ,  , bcu , WN B0351.8+7640 , 0.9962512 , 59.6263128375 , 76.8242070694 , 0.00000024
730 , 4FGL J0358.9+6004 , 59.7328 , 60.0767 ,  , 1.072e-12 , PowerLaw , 2.5742972 , <2.598e-8 , 7.628e-9 , 3.393e-9 , 3.091e-10 , 8.014e-11 , 7.809e-13 , 2.917e-12 , 1.561e-15 , 1.734e-12 , 2.181e-12 , 7.027e-13 , 5.151e-13 , 1.776e-14 , 1.258e-13 , 11.070222 , 0.000000057768744 , 0.0000000060696133 , 3FGL J0358.8+6002 ,  , N ,  , fsrq , TXS 0354+599 , 0.99081093 , 59.7609996875 , 60.0894637778 , 0.000000095
731 , 4FGL J0359.0-3053 , 59.7704 , -30.8898 ,  , 3.913e-13 , PowerLaw , 1.9558948 , <1.330e-8 , <1.572e-9 , 3.878e-10 , 1.148e-10 , 5.644e-11 , 1.246e-11 , 6.005e-12 , 2.710e-13 , 1.346e-17 , 2.676e-13 , 2.771e-13 , 3.895e-13 , 3.006e-13 , 3.265e-13 ,  ,  ,  ,  ,  , N ,  , bll , NVSS J035856-305446 , 0.9957845 , 59.73419952392578 , -30.912799835205078 , 0.009
