id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Power Law Index , Flux 50-100 MeV (ph/cm2/s) , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Signif. Peak , Flux Peak (ph/cm2/s) , Flux Peak Error (ph/cm2/s) , Previous Fermi Association , Other Gamma Catalog Associations , TeVCat Flag , TeV Assoc. Name , Class , Association , Assoc. Probability , R.A. Counterpart , Dec. Counterpart , Counterpart Error
11 , 4FGL J0003.3+2511 , 0.8323 , 25.1912 ,  , 4.539e-13 , PowerLaw , 2.209443 , <1.812e-8 , 1.601e-9 , 4.373e-10 , 2.123e-10 , 3.844e-11 , 7.317e-12 , <6.668e-12 , 3.152e-14 , 3.770e-13 , 2.930e-13 , 4.997e-13 , 2.575e-13 , 1.723e-13 , 3.006e-15 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
12 , 4FGL J0003.3-1928 , 0.8465 , -19.4676 ,  , 4.292e-13 , LogParabola , 2.2405226 , <8.093e-9 , 1.015e-9 , 1.035e-9 , 3.090e-10 , 7.021e-11 , 4.167e-12 , <4.956e-12 , 9.508e-16 , 2.731e-13 , 7.460e-13 , 7.198e-13 , 4.291e-13 , 8.555e-14 , 6.151e-17 , 8.60511 , 0.0000000066127246 , 0.0000000010953862 ,  ,  , N ,  , bcu , PKS 0000-197 , 0.9972004 , 0.827812570833 , -19.4562098556 , 0.00000017
13 , 4FGL J0003.3-5905 , 0.8483 , -59.0952 ,  , 3.413e-13 , PowerLaw , 2.3632457 , <1.255e-8 , 3.825e-9 , 3.762e-10 , 1.131e-10 , 3.917e-11 , <6.120e-12 , <4.050e-12 , 6.441e-14 , 8.872e-13 , 2.476e-13 , 2.623e-13 , 2.578e-13 , 4.529e-17 , 4.008e-17 ,  ,  ,  ,  ,  , N ,  , bcu , PMN J0003-5905 , 0.97976094 , 0.8055400252342224 , -59.096580505371094 , 0.0045
14 , 4FGL J0003.6+3059 , 0.9045 , 30.9898 ,  , 3.299e-13 , LogParabola , 2.2234128 , 2.883e-11 , 1.042e-9 , 5.533e-10 , 3.796e-10 , 5.304e-11 , 4.056e-12 , <5.027e-12 , 4.998e-15 , 3.038e-13 , 4.510e-13 , 9.022e-13 , 3.054e-13 , 7.688e-14 , 1.228e-16 ,  ,  ,  , 3FGL J0003.4+3100 ,  , N ,  ,  ,  , 0 ,  ,  , 
15 , 4FGL J0003.9-1149 , 0.9986 , -11.8251 ,  , 4.420e-13 , PowerLaw , 2.1277146 , <1.172e-8 , 1.288e-9 , 7.003e-10 , 2.604e-10 , 6.355e-11 , 1.311e-11 , <6.165e-12 , 5.124e-17 , 3.056e-13 , 4.736e-13 , 6.178e-13 , 4.298e-13 , 3.110e-13 , 1.281e-21 ,  ,  ,  , 3FGL J0003.8-1151 ,  , N ,  , bll , PMN J0004-1148 , 0.9983225 , 1.02047914167 , -11.8162183194 , 0.00000012
16 , 4FGL J0004.0+5715 , 1.0017 , 57.2578 ,  , 8.270e-13 , PowerLaw , 2.4375134 , <1.872e-8 , 1.012e-9 , 1.626e-9 , 3.395e-10 , 8.677e-11 , <7.834e-12 , <3.972e-12 , 6.437e-16 , 2.330e-13 , 1.062e-12 , 7.818e-13 , 5.663e-13 , 1.184e-14 , 3.640e-17 ,  ,  ,  , 3FGL J0003.5+5721 ,  , N ,  ,  ,  , 0 ,  ,  , 
17 , 4FGL J0004.0+0840 , 1.0073 , 8.6757 ,  , 4.601e-13 , PowerLaw , 2.1019166 , 1.958e-8 , 3.012e-9 , 2.812e-10 , 1.640e-10 , 8.056e-11 , 3.020e-12 , 1.344e-12 , 3.124e-12 , 7.165e-13 , 1.907e-13 , 3.902e-13 , 5.465e-13 , 7.184e-14 , 6.890e-14 ,  ,  ,  , 3FGL J0004.2+0843 ,  , N ,  , bcu , SDSS J000359.23+084138.1 , 0.9922678 , 0.996792179167 , 8.6939406 , 0.00000042
18 , 4FGL J0004.4-4737 , 1.1091 , -47.6233 ,  , 4.719e-13 , PowerLaw , 2.4149895 , 2.870e-8 , 9.344e-9 , 2.159e-9 , 4.013e-10 , 9.122e-11 , 5.860e-12 , <4.388e-12 , 4.524e-12 , 2.157e-12 , 1.412e-12 , 9.263e-13 , 5.969e-13 , 1.353e-13 , 4.064e-17 , 14.895874 , 0.00000003138038 , 0.0000000029630383 , 3FGL J0004.7-4740 ,  , N ,  , fsrq , PKS 0002-478 , 0.9971799 , 1.1485645375 , -47.6054455472 , 0.000000088
19 , 4FGL J0004.4-4001 , 1.1184 , -40.0251 ,  , 4.411e-13 , PowerLaw , 2.4249508 , 4.679e-9 , 4.005e-9 , 4.912e-10 , 1.377e-10 , 2.904e-11 , 4.101e-12 , 1.760e-12 , 7.371e-13 , 9.235e-13 , 3.210e-13 , 3.176e-13 , 1.898e-13 , 9.456e-14 , 7.989e-14 , 4.91357 , 0.000000007996168 , 0.0000000020911206 ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
20 , 4FGL J0005.6+6746c , 1.4155 , 67.7688 ,  , 1.701e-12 , PowerLaw , 2.6314557 , <4.790e-8 , <1.475e-8 , 3.156e-9 , 4.584e-10 , 4.184e-11 , 3.629e-12 , <3.803e-12 , 4.357e-17 , 8.507e-15 , 2.016e-12 , 1.037e-12 , 2.673e-13 , 8.206e-14 , 1.537e-17 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
