energy,area
4.3052479537794905, 0.0012501717960549294
4.449687048627829, 0.004389592876656949
4.585459797785267, 0.016758780942343263
4.727010110736639, 0.05967021130238468
4.865671641791045, 0.20661008441791684
5.010110736639383, 0.6135907273413164
5.14877226769379, 1.7720862201276577
5.287433798748195, 4.328761281083053
5.4260953298026, 9.457091168586551
5.567645642753972, 17.47528400007683
5.706307173808378, 30.538555088334093
5.84785748675975, 46.41588833612772
5.983630235917188, 70.54802310718638
6.12518054886856, 98.61418593288269
6.263842079922966, 134.05182387914715
6.4198363023591725, 172.33109056135063
6.558497833413577, 215.443469003188
6.674049109292248, 269.3413485920198
6.8069330765527205, 336.72295752114155
6.945594607607125, 392.5901453817639
7.081367356764565, 470.68165596092393
7.217140105922002, 572.2367659350202
7.355801636976407, 667.179086288213
7.5031295137217136, 777.8737048694287
7.65045739046702, 869.7490026177817
7.786230139624459, 1057.407592010615
7.945113143957631, 1165.9144011798298
8.08955223880597, 1285.5557319139007
