x,y
-0.9979349509550851, 3.959342090690499e-12
-0.9566339700567887, 4.4902791811189555e-12
-0.9380485286525555, 4.585165729109536e-12
-0.8946824987093444, 4.78084093109666e-12
-0.8740320082601961, 4.881814549351903e-12
-0.8337635518843572, 4.880782155340276e-12
-0.8110480123902943, 4.880199875551084e-12
-0.7687145069695404, 4.7277544760750736e-12
-0.7480640165203923, 4.6289631412271505e-12
-0.7067630356220959, 4.34527484534171e-12
-0.684047496128033, 4.2099729501232505e-12
-0.6458440887971088, 3.829426765681447e-12
-0.6220960247805885, 3.7101670762889975e-12
-0.5838926174496645, 3.3046376206638592e-12
-0.5611770779556013, 3.1024140977934475e-12
-0.52194114610222, 2.734423272630233e-12
-0.5002581311306142, 2.594215580128178e-12
-0.46102219927723254, 2.2389683378862727e-12
-0.4403717088280845, 2.1019800272596905e-12
-0.40113577697470304, 1.8526550370019305e-12
-0.3794527620030974, 1.7392933613976991e-12
-0.3412493546721733, 1.5329965270384005e-12
-0.3195663397005677, 1.4391943612117047e-12
-0.2813629323696436, 1.2162969150681856e-12
-0.259679917398038, 1.1299411870392715e-12
-0.2235415591120289, 9.253255940910772e-13
-0.20495611770779543, 8.329745699971594e-13
-0.1719153329891583, 6.609847088996842e-13
-0.15332989158492483, 5.64570734486811e-13
-0.12751677852348986, 4.20651319379701e-13
-0.11202891068662835, 3.5182944459537334e-13
-0.09963861641713967, 3.1672582951233827e-13
-0.08724832214765077, 2.9736027993943235e-13
-0.08105317501290621, 2.973506044563061e-13
-0.07589055240061948, 2.911608389110084e-13
-0.05420753742901363, 2.5131296236159917e-13
-0.04181724315952473, 2.4607219278432564e-13
0.04284976768198279, 2.309389299833595e-13
-0.0005162622612284729, 2.409041287802575e-13
0.06763035622096059, 2.408179191113123e-13
0.10686628807434206, 2.458801044522936e-13
0.12958182756840508, 2.564010205579211e-13
0.1750129065565309, 2.969509597991853e-13
0.20598864223025326, 2.9073009447075156e-13
0.23283427981414584, 3.031635117177016e-13
0.2534847702632941, 3.095664682565812e-13
0.2741352607124421, 3.1944267917543126e-13
0.31750129065565313, 3.2959464892012977e-13
0.34434692823954594, 3.4009875966100797e-13
0.3794527620030981, 3.436267896258342e-13
0.4207537429013941, 3.508462943322625e-13
0.44346928239545713, 3.582524480785041e-13
0.47651006711409427, 3.735613835440602e-13
0.5054207537429019, 3.8143462763767214e-13
0.5467217346411981, 3.9356098589874116e-13
0.5694372741352609, 3.9766948695095005e-13
0.6107382550335574, 4.279197854284373e-13
0.6344863190500778, 4.278664140233269e-13
0.6685596282911725, 4.414856650484936e-13
0.6964377903975221, 4.507929376809197e-13
0.7387712958182759, 4.700333952829451e-13
0.7594217862674242, 4.749453660293519e-13
0.8007227671657207, 5.004488149868355e-13
0.8234383066597837, 5.110129877479331e-13
0.8626742385131654, 5.556979447052586e-13
0.885389778007228, 6.171737041186852e-13
0.9184305627258653, 7.455020386205483e-13
0.9473412493546727, 8.818111586991901e-13
0.9710893133711926, 1.0321720086094592e-12
0.9886422302529687, 1.1830922461452659e-12
0.9979349509550857, 1.2733028692704588e-12
