id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , Significance , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , Spectrum Type , PL Flux Density (cm-2 MeV-1 s-1) , PL Flux Density Error (cm-2 MeV-1 s-1) , Power Law Index , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Class , Low confidence Class
43 , 4FGL J0010.8-2154 , 00 10 52.17 , -21 54 01.44 ,  , 4.217368 , 1.050e-10 , 2.979e-11 , PowerLaw , 2.086e-13 , 4.831e-14 , 2.4946294 , 1.213e-9 , 5.028e-10 , 1.022e-10 , 1.306e-11 , 3.722e-12 , 2.495e-12 , 1.632e-15 , 2.778e-13 , 3.261e-13 , 2.341e-13 , 8.471e-14 , 8.526e-14 , 1.105e-13 , bcu , 
44 , 4FGL J0011.4+0057 , 00 11 25.22 , +00 57 52.55 ,  , 13.4172535 , 4.754e-10 , 5.169e-11 , PowerLaw , 4.058e-13 , 3.976e-14 , 2.3197815 , 9.251e-9 , 1.687e-9 , 3.477e-10 , 1.276e-10 , 9.730e-12 , 3.778e-13 , 3.485e-12 , 2.155e-12 , 1.116e-12 , 8.099e-13 , 8.439e-13 , 2.266e-13 , 1.781e-14 , fsrq , 
45 , 4FGL J0011.8-3142 , 00 11 49.12 , -31 42 55.43 ,  , 5.024043 , 1.123e-10 , 2.941e-11 , PowerLaw , 8.924e-15 , 2.284e-15 , 1.9738964 , 3.033e-9 , 2.055e-10 , 5.061e-11 , 3.425e-11 , 1.067e-11 , 3.261e-12 , 1.386e-12 , 7.308e-13 , 1.416e-13 , 1.219e-13 , 2.359e-13 , 2.571e-13 , 1.760e-13 , bcu , 
46 , 4FGL J0012.0+7043 , 00 12 00.76 , +70 43 57.36 ,  , 7.808201 , 4.316e-10 , 6.025e-11 , PowerLaw , 1.633e-13 , 2.270e-14 , 2.4747853 , 1.263e-8 , 2.058e-9 , 3.317e-10 , 7.399e-11 , 1.460e-11 , <4.593e-12 , 8.890e-14 , 2.899e-12 , 1.338e-12 , 7.612e-13 , 4.809e-13 , 3.350e-13 , 1.850e-15 , bcu , 
47 , 4FGL J0013.1-3955 , 00 13 07.24 , -39 55 37.91 ,  , 16.90583 , 4.487e-10 , 4.337e-11 , PowerLaw , 1.200e-13 , 1.140e-14 , 2.0500717 , 2.064e-9 , 1.054e-9 , 3.421e-10 , 8.985e-11 , 4.190e-11 , 5.722e-13 , 4.588e-14 , 4.935e-13 , 7.195e-13 , 8.181e-13 , 6.133e-13 , 1.002e-12 , 2.994e-14 , bll , 
48 , 4FGL J0013.6+4051 , 00 13 36.33 , +40 51 22.67 ,  , 6.1323133 , 1.807e-10 , 3.529e-11 , PowerLaw , 4.538e-14 , 8.841e-15 , 2.21155 , 1.757e-9 , 5.944e-10 , 1.554e-10 , 3.309e-11 , 2.987e-12 , 7.116e-12 , 6.063e-13 , 4.135e-13 , 3.981e-13 , 3.658e-13 , 2.216e-13 , 7.030e-14 , 3.495e-13 , agn , 
49 , 4FGL J0013.6-0424 , 00 13 40.99 , -04 24 06.11 ,  , 5.0501785 , 1.740e-10 , 3.967e-11 , PowerLaw , 5.575e-14 , 1.262e-14 , 2.3586702 , <4.248e-9 , 8.055e-10 , 1.177e-10 , 2.851e-11 , 1.172e-11 , <7.378e-12 , 7.767e-12 , 3.497e-15 , 5.305e-13 , 2.730e-13 , 1.877e-13 , 2.719e-13 , 6.304e-16 , fsrq , 
50 , 4FGL J0013.9-1854 , 00 13 55.29 , -18 54 42.47 ,  , 11.508996 , 2.793e-10 , 3.925e-11 , PowerLaw , 4.142e-14 , 5.820e-15 , 1.9660697 , 1.321e-9 , 4.899e-10 , 1.856e-10 , 8.143e-11 , 2.025e-11 , 7.531e-12 , 1.671e-12 , 3.186e-13 , 3.377e-13 , 4.474e-13 , 5.613e-13 , 4.882e-13 , 4.077e-13 , bll , 
51 , 4FGL J0014.1+1910 , 00 14 08.83 , +19 10 16.67 ,  , 6.2304435 , 1.938e-10 , 3.749e-11 , PowerLaw , 1.021e-13 , 1.909e-14 , 2.2641912 , 1.031e-9 , 8.967e-10 , 1.739e-10 , 4.475e-11 , <6.221e-12 , <5.025e-12 , 4.803e-15 , 2.414e-13 , 5.969e-13 , 4.072e-13 , 2.979e-13 , 6.666e-18 , 1.321e-20 , bll , 
52 , 4FGL J0014.1-5022 , 00 14 11.49 , -50 22 13.08 ,  , 10.176719 , 2.576e-10 , 3.691e-11 , PowerLaw , 4.016e-14 , 5.753e-15 , 1.9924736 , 2.186e-9 , 4.235e-10 , 2.020e-10 , 5.733e-11 , 2.369e-11 , <5.751e-12 , 1.298e-14 , 5.257e-13 , 2.910e-13 , 4.859e-13 , 3.940e-13 , 5.698e-13 , 1.217e-16 , bll , 
