id , BZCAT5 Source name , Source classification
581 , 5BZQJ0357-4812 , FSRQ
582 , 5BZQJ0357-4159 , FSRQ
583 , 5BZQJ0357-0751 , FSRQ
584 , 5BZQJ0357+0542 , FSRQ
585 , 5BZBJ0358-3054 , BL Lac Candidate
586 , 5BZQJ0359+5057 , FSRQ
587 , 5BZBJ0359-2615 , BL Lac
588 , 5BZQJ0359+3220 , FSRQ
589 , 5BZQJ0400+0550 , FSRQ
590 , 5BZGJ0401-1606 , BL Lac-galaxy dominated
591 , 5BZBJ0401+8153 , BL Lac Candidate
592 , 5BZQJ0401+2110 , FSRQ
593 , 5BZBJ0402-2615 , BL Lac
594 , 5BZQJ0402-3147 , FSRQ
595 , 5BZQJ0403+2600 , FSRQ
596 , 5BZBJ0403-2429 , BL Lac
597 , 5BZQJ0403-2444 , FSRQ
598 , 5BZQJ0403-3605 , FSRQ
599 , 5BZQJ0405-0739 , FSRQ
600 , 5BZQJ0405-1308 , FSRQ
601 , 5BZQJ0406-1749 , FSRQ
602 , 5BZQJ0406+0637 , FSRQ
603 , 5BZUJ0406-3826 , Blazar Uncertain type
604 , 5BZBJ0407+0742 , BL Lac
605 , 5BZQJ0407-3303 , FSRQ
606 , 5BZUJ0407-1211 , Blazar Uncertain type
607 , 5BZQJ0409-1238 , FSRQ
608 , 5BZBJ0409-0555 , BL Lac
609 , 5BZBJ0409+1217 , BL Lac
610 , 5BZBJ0409+0640 , BL Lac
611 , 5BZBJ0409-0400 , BL Lac
612 , 5BZQJ0410-7750 , FSRQ
613 , 5BZQJ0410-1636 , FSRQ
614 , 5BZBJ0411-3941 , BL Lac
615 , 5BZQJ0411-5149 , FSRQ
616 , 5BZQJ0412+0010 , FSRQ
617 , 5BZQJ0412+0438 , FSRQ
618 , 5BZQJ0412-4604 , FSRQ
619 , 5BZQJ0413-5332 , FSRQ
620 , 5BZQJ0415-4023 , FSRQ
621 , 5BZUJ0416-2056 , Blazar Uncertain type
622 , 5BZUJ0416-4355 , Blazar Uncertain type
623 , 5BZQJ0416-1851 , FSRQ
624 , 5BZBJ0416+0105 , BL Lac
625 , 5BZQJ0419-2132 , FSRQ
626 , 5BZQJ0419-3010 , FSRQ
627 , 5BZQJ0420-1501 , FSRQ
628 , 5BZQJ0421-4818 , FSRQ
629 , 5BZBJ0421-0629 , BL Lac Candidate
630 , 5BZQJ0422-0643 , FSRQ
631 , 5BZQJ0422-3844 , FSRQ
632 , 5BZBJ0422+1950 , BL Lac
633 , 5BZQJ0422+1741 , FSRQ
634 , 5BZQJ0422+0219 , FSRQ
635 , 5BZQJ0423-0120 , FSRQ
636 , 5BZBJ0423+4150 , BL Lac Candidate
637 , 5BZQJ0424+0204 , FSRQ
638 , 5BZQJ0424-3848 , FSRQ
639 , 5BZQJ0424-3756 , FSRQ
640 , 5BZBJ0424+0036 , BL Lac
641 , 5BZQJ0424+0805 , FSRQ
642 , 5BZBJ0425-5331 , BL Lac
643 , 5BZQJ0425-5754 , FSRQ
644 , 5BZGJ0425-0833 , BL Lac-galaxy dominated
645 , 5BZQJ0426+0518 , FSRQ
646 , 5BZQJ0427-0756 , FSRQ
647 , 5BZQJ0428+3259 , FSRQ
648 , 5BZQJ0428+1732 , FSRQ
649 , 5BZBJ0428-3756 , BL Lac
650 , 5BZGJ0428-3805 , BL Lac-galaxy dominated
651 , 5BZBJ0429-3236 , BL Lac Candidate
652 , 5BZQJ0429-4328 , FSRQ
653 , 5BZBJ0430-2507 , BL Lac
654 , 5BZQJ0431-0406 , FSRQ
655 , 5BZUJ0431+1731 , Blazar Uncertain type
656 , 5BZQJ0432-5109 , FSRQ
657 , 5BZUJ0433+0521 , Blazar Uncertain type
658 , 5BZBJ0433-4502 , BL Lac
659 , 5BZQJ0433-6030 , FSRQ
660 , 5BZBJ0433+2905 , BL Lac
661 , 5BZQJ0433+3237 , FSRQ
662 , 5BZQJ0434-4355 , FSRQ
663 , 5BZBJ0434-2015 , BL Lac
664 , 5BZQJ0434-1442 , FSRQ
665 , 5BZBJ0434-2342 , BL Lac
666 , 5BZQJ0435-0811 , FSRQ
667 , 5BZQJ0435+2532 , FSRQ
668 , 5BZQJ0435+2923 , FSRQ
669 , 5BZQJ0437-1844 , FSRQ
670 , 5BZQJ0437-2954 , FSRQ
671 , 5BZQJ0438+3004 , FSRQ
672 , 5BZQJ0438-1251 , FSRQ
673 , 5BZQJ0438-2012 , FSRQ
674 , 5BZBJ0439-4522 , BL Lac
675 , 5BZGJ0439+0520 , BL Lac-galaxy dominated
676 , 5BZUJ0439-3210 , Blazar Uncertain type
677 , 5BZQJ0439-3017 , FSRQ
678 , 5BZQJ0440-4333 , FSRQ
679 , 5BZBJ0440-2459 , BL Lac Candidate
680 , 5BZUJ0440+1437 , Blazar Uncertain type
681 , 5BZBJ0440+2750 , BL Lac
682 , 5BZQJ0441-4313 , FSRQ
683 , 5BZBJ0441-2952 , BL Lac Candidate
684 , 5BZBJ0441+1504 , BL Lac
685 , 5BZBJ0442-0018 , BL Lac
686 , 5BZQJ0442-2825 , FSRQ
687 , 5BZQJ0442-0017 , FSRQ
688 , 5BZGJ0445-6014 , BL Lac-galaxy dominated
689 , 5BZQJ0446+3900 , FSRQ
690 , 5BZQJ0447-0322 , FSRQ
691 , 5BZQJ0448-3659 , FSRQ
692 , 5BZQJ0448-2109 , FSRQ
693 , 5BZQJ0448-5041 , FSRQ
694 , 5BZQJ0448-2626 , FSRQ
695 , 5BZBJ0448-1632 , BL Lac
696 , 5BZQJ0448-7417 , FSRQ
697 , 5BZQJ0448+1127 , FSRQ
698 , 5BZQJ0449+1121 , FSRQ
699 , 5BZQJ0449+6332 , FSRQ
700 , 5BZBJ0449-4350 , BL Lac
701 , 5BZQJ0449-4809 , FSRQ
702 , 5BZQJ0449-3911 , FSRQ
703 , 5BZQJ0449-0057 , FSRQ
704 , 5BZQJ0450-8101 , FSRQ
705 , 5BZQJ0450-1837 , FSRQ
706 , 5BZQJ0451-4653 , FSRQ
707 , 5BZQJ0452+1236 , FSRQ
708 , 5BZQJ0453-2807 , FSRQ
709 , 5BZQJ0455-4615 , FSRQ
710 , 5BZQJ0456-3136 , FSRQ
711 , 5BZQJ0456+0400 , FSRQ
712 , 5BZQJ0457-2324 , FSRQ
713 , 5BZQJ0457+0645 , FSRQ
714 , 5BZQJ0457-1819 , FSRQ
715 , 5BZQJ0501-0159 , FSRQ
716 , 5BZQJ0502+0609 , FSRQ
717 , 5BZBJ0502+1338 , BL Lac
718 , 5BZBJ0503+6534 , BL Lac Candidate
719 , 5BZBJ0503-1115 , BL Lac
720 , 5BZQJ0503+6600 , FSRQ
721 , 5BZQJ0503+3403 , FSRQ
722 , 5BZUJ0504-6049 , Blazar Uncertain type
723 , 5BZQJ0505+0459 , FSRQ
724 , 5BZBJ0505+0415 , BL Lac
725 , 5BZQJ0505-0419 , FSRQ
726 , 5BZQJ0505-2930 , FSRQ
727 , 5BZBJ0505+6113 , BL Lac
728 , 5BZBJ0506-0858 , BL Lac
729 , 5BZQJ0506-6109 , FSRQ
730 , 5BZBJ0506-5435 , BL Lac
731 , 5BZQJ0507-6104 , FSRQ
732 , 5BZBJ0507+6737 , BL Lac
733 , 5BZQJ0508-6433 , FSRQ
734 , 5BZBJ0508+8432 , BL Lac
735 , 5BZBJ0509+0541 , BL Lac
736 , 5BZQJ0509+1011 , FSRQ
737 , 5BZBJ0509-0400 , BL Lac Candidate
738 , 5BZBJ0509-2514 , BL Lac
739 , 5BZQJ0510+1800 , FSRQ
740 , 5BZQJ0511+1357 , FSRQ
741 , 5BZQJ0513+0100 , FSRQ
742 , 5BZQJ0513-2159 , FSRQ
743 , 5BZQJ0514+5602 , FSRQ
744 , 5BZQJ0515-4556 , FSRQ
745 , 5BZBJ0515+1527 , BL Lac
746 , 5BZQJ0516-1603 , FSRQ
747 , 5BZBJ0516+7351 , BL Lac
748 , 5BZBJ0516-6207 , BL Lac
749 , 5BZQJ0516-1537 , FSRQ
750 , 5BZQJ0517-0520 , FSRQ
751 , 5BZUJ0517+0858 , Blazar Uncertain type
752 , 5BZQJ0517+0648 , FSRQ
753 , 5BZQJ0521-1737 , FSRQ
754 , 5BZBJ0521+2112 , BL Lac
755 , 5BZQJ0522+0113 , FSRQ
756 , 5BZQJ0522-0725 , FSRQ
757 , 5BZQJ0522-6107 , FSRQ
758 , 5BZQJ0522-1627 , FSRQ
759 , 5BZUJ0522-3627 , Blazar Uncertain type
760 , 5BZQJ0523-2614 , FSRQ
761 , 5BZUJ0525-3343 , Blazar Uncertain type
762 , 5BZQJ0525-2338 , FSRQ
763 , 5BZQJ0525-4557 , FSRQ
764 , 5BZQJ0525-4318 , FSRQ
765 , 5BZQJ0526-4830 , FSRQ
766 , 5BZBJ0527+0331 , BL Lac
767 , 5BZUJ0528-5820 , Blazar Uncertain type
768 , 5BZQJ0529-0519 , FSRQ
769 , 5BZQJ0530-2503 , FSRQ
770 , 5BZQJ0530+1331 , FSRQ
771 , 5BZQJ0532-3848 , FSRQ
772 , 5BZUJ0532-0307 , Blazar Uncertain type
773 , 5BZQJ0532+0732 , FSRQ
774 , 5BZQJ0533+4822 , FSRQ
775 , 5BZQJ0533-8324 , FSRQ
776 , 5BZBJ0533-4632 , BL Lac
777 , 5BZBJ0533-7216 , BL Lac
778 , 5BZQJ0534-3747 , FSRQ
779 , 5BZQJ0534-6106 , FSRQ
780 , 5BZQJ0535-0239 , FSRQ
781 , 5BZQJ0536-3401 , FSRQ
782 , 5BZBJ0536-3343 , BL Lac
783 , 5BZBJ0537-5718 , BL Lac
784 , 5BZUJ0538-3908 , Blazar Uncertain type
785 , 5BZBJ0538-4405 , BL Lac
786 , 5BZQJ0539-3427 , FSRQ
787 , 5BZUJ0539-1550 , Blazar Uncertain type
788 , 5BZQJ0539+1433 , FSRQ
789 , 5BZQJ0539-2839 , FSRQ
790 , 5BZBJ0540+2507 , BL Lac
791 , 5BZBJ0540+5823 , BL Lac
792 , 5BZQJ0540-5418 , FSRQ
793 , 5BZQJ0541+5312 , FSRQ
794 , 5BZQJ0541-0541 , FSRQ
795 , 5BZBJ0543-5532 , BL Lac
796 , 5BZQJ0544-2241 , FSRQ
797 , 5BZQJ0546-6415 , FSRQ
798 , 5BZBJ0546-2204 , BL Lac Candidate
799 , 5BZQJ0547-6728 , FSRQ
800 , 5BZQJ0549-5246 , FSRQ
801 , 5BZQJ0550-5732 , FSRQ
802 , 5BZGJ0550-3216 , BL Lac-galaxy dominated
803 , 5BZQJ0551-1909 , FSRQ
804 , 5BZBJ0553-2034 , BL Lac
805 , 5BZQJ0554+6857 , FSRQ
806 , 5BZQJ0555+3948 , FSRQ
807 , 5BZBJ0556-4351 , BL Lac
808 , 5BZQJ0557+2413 , FSRQ
809 , 5BZQJ0558-1317 , FSRQ
810 , 5BZBJ0558-3838 , BL Lac
811 , 5BZBJ0558-7459 , BL Lac
812 , 5BZQJ0559-4529 , FSRQ
813 , 5BZQJ0559+5804 , FSRQ
814 , 5BZQJ0600-3937 , FSRQ
815 , 5BZBJ0601+3838 , BL Lac
816 , 5BZQJ0601-7036 , FSRQ
817 , 5BZQJ0601+2324 , FSRQ
818 , 5BZQJ0601-2736 , FSRQ
819 , 5BZQJ0601-2004 , FSRQ
820 , 5BZQJ0603+1742 , FSRQ
821 , 5BZQJ0603-1716 , FSRQ
822 , 5BZBJ0604-4817 , BL Lac
823 , 5BZQJ0604-4225 , FSRQ
824 , 5BZQJ0604+2429 , FSRQ
825 , 5BZQJ0606-0724 , FSRQ
826 , 5BZQJ0606-0024 , FSRQ
827 , 5BZBJ0607-2518 , BL Lac
828 , 5BZBJ0607+4739 , BL Lac Candidate
829 , 5BZQJ0607+6720 , FSRQ
830 , 5BZQJ0607-0834 , FSRQ
831 , 5BZUJ0608-1520 , Blazar Uncertain type
832 , 5BZQJ0608-2220 , FSRQ
833 , 5BZBJ0609-0247 , BL Lac
834 , 5BZQJ0609-0615 , FSRQ
835 , 5BZQJ0609-1542 , FSRQ
836 , 5BZBJ0610-1847 , BL Lac
837 , 5BZQJ0610-6058 , FSRQ
838 , 5BZQJ0610-2301 , FSRQ
839 , 5BZQJ0612-4337 , FSRQ
840 , 5BZQJ0612-3138 , FSRQ
841 , 5BZBJ0612+4122 , BL Lac
842 , 5BZBJ0613+7107 , BL Lac
843 , 5BZQJ0613+1306 , FSRQ
844 , 5BZQJ0614-2536 , FSRQ
845 , 5BZQJ0614+6046 , FSRQ
846 , 5BZBJ0615-3117 , BL Lac
847 , 5BZQJ0617-2200 , FSRQ
848 , 5BZBJ0617+5701 , BL Lac
849 , 5BZGJ0617-1715 , BL Lac-galaxy dominated
850 , 5BZQJ0617+7816 , FSRQ
851 , 5BZQJ0618+4620 , FSRQ
852 , 5BZQJ0618-7843 , FSRQ
853 , 5BZUJ0619-1140 , Blazar Uncertain type
854 , 5BZUJ0620-2515 , Blazar Uncertain type
855 , 5BZBJ0621+1747 , BL Lac
856 , 5BZBJ0621-3411 , BL Lac
857 , 5BZUJ0621+3750 , Blazar Uncertain type
858 , 5BZQJ0622-1927 , FSRQ
859 , 5BZUJ0622+3326 , Blazar Uncertain type
860 , 5BZQJ0623-6436 , FSRQ
861 , 5BZQJ0623-4413 , FSRQ
862 , 5BZBJ0623-5257 , BL Lac
863 , 5BZQJ0624+3856 , FSRQ
864 , 5BZBJ0624-3230 , BL Lac
865 , 5BZBJ0625+4440 , BL Lac
866 , 5BZQJ0625-5438 , FSRQ
867 , 5BZBJ0628-6248 , BL Lac
868 , 5BZBJ0629-1959 , BL Lac
869 , 5BZQJ0630-1323 , FSRQ
870 , 5BZBJ0630-2406 , BL Lac
871 , 5BZQJ0631-4154 , FSRQ
872 , 5BZQJ0631-1410 , FSRQ
873 , 5BZQJ0631+5311 , FSRQ
874 , 5BZQJ0632-5404 , FSRQ
875 , 5BZQJ0632-2614 , FSRQ
876 , 5BZQJ0632+3200 , FSRQ
877 , 5BZQJ0633-2223 , FSRQ
878 , 5BZBJ0635-2620 , BL Lac
879 , 5BZQJ0635-7516 , FSRQ
880 , 5BZQJ0636-2113 , FSRQ
881 , 5BZBJ0639-3346 , BL Lac Candidate
882 , 5BZQJ0639+7324 , FSRQ
883 , 5BZQJ0642+6758 , FSRQ
884 , 5BZQJ0642-6150 , FSRQ
885 , 5BZGJ0643+4214 , BL Lac-galaxy dominated
886 , 5BZQJ0644-3459 , FSRQ
887 , 5BZQJ0644+3914 , FSRQ
888 , 5BZUJ0645+6024 , Blazar Uncertain type
889 , 5BZQJ0646-3903 , FSRQ
890 , 5BZQJ0646+4451 , FSRQ
891 , 5BZQJ0648-4347 , FSRQ
892 , 5BZQJ0648-3044 , FSRQ
893 , 5BZQJ0648-1744 , FSRQ
894 , 5BZBJ0648+1516 , BL Lac
895 , 5BZQJ0649-5920 , FSRQ
896 , 5BZQJ0650+6001 , FSRQ
897 , 5BZBJ0650+2502 , BL Lac
898 , 5BZQJ0650+5616 , FSRQ
899 , 5BZQJ0653+3705 , FSRQ
900 , 5BZQJ0654+5042 , FSRQ
901 , 5BZQJ0654+4514 , FSRQ
902 , 5BZGJ0654+4247 , BL Lac-galaxy dominated
903 , 5BZGJ0656+4237 , BL Lac-galaxy dominated
904 , 5BZQJ0656-0323 , FSRQ
905 , 5BZBJ0656-2403 , BL Lac
906 , 5BZQJ0657+2423 , FSRQ
907 , 5BZUJ0658-5840 , Blazar Uncertain type
908 , 5BZQJ0659-2745 , FSRQ
909 , 5BZBJ0700-6610 , BL Lac
910 , 5BZQJ0701-4634 , FSRQ
911 , 5BZQJ0702+8549 , FSRQ
912 , 5BZBJ0702-1951 , BL Lac
913 , 5BZBJ0706+3744 , BL Lac
914 , 5BZBJ0706+7741 , BL Lac
915 , 5BZBJ0707+6110 , BL Lac
916 , 5BZBJ0708+2241 , BL Lac
917 , 5BZGJ0709+5010 , BL Lac-galaxy dominated
918 , 5BZUJ0709-0255 , Blazar Uncertain type
919 , 5BZBJ0710+5908 , BL Lac
920 , 5BZQJ0710+4220 , FSRQ
921 , 5BZBJ0710+4732 , BL Lac
922 , 5BZBJ0712+5719 , BL Lac
923 , 5BZBJ0712+5033 , BL Lac
924 , 5BZUJ0713+4349 , Blazar Uncertain type
925 , 5BZQJ0713+1935 , FSRQ
926 , 5BZQJ0714+3534 , FSRQ
927 , 5BZQJ0717+4538 , FSRQ
928 , 5BZBJ0718-4319 , BL Lac
929 , 5BZQJ0719-6218 , FSRQ
930 , 5BZQJ0719+3307 , FSRQ
931 , 5BZQJ0721+0406 , FSRQ
932 , 5BZBJ0721+7120 , BL Lac
933 , 5BZQJ0722+3722 , FSRQ
934 , 5BZBJ0722-0731 , BL Lac
935 , 5BZBJ0723+5841 , BL Lac Candidate
936 , 5BZBJ0723-8247 , BL Lac
937 , 5BZQJ0723+2859 , FSRQ
938 , 5BZQJ0724-0715 , FSRQ
939 , 5BZBJ0724+2621 , BL Lac Candidate
940 , 5BZQJ0725+1425 , FSRQ
941 , 5BZUJ0725-0054 , Blazar Uncertain type
942 , 5BZQJ0726+2153 , FSRQ
943 , 5BZQJ0726-4728 , FSRQ
944 , 5BZQJ0726+0636 , FSRQ
945 , 5BZBJ0726+3734 , BL Lac
946 , 5BZUJ0727+4844 , Blazar Uncertain type
947 , 5BZQJ0728-4745 , FSRQ
948 , 5BZQJ0728+5701 , FSRQ
949 , 5BZUJ0729-1320 , Blazar Uncertain type
950 , 5BZQJ0730-1141 , FSRQ
951 , 5BZBJ0730+3307 , BL Lac Candidate
952 , 5BZUJ0730-3208 , Blazar Uncertain type
953 , 5BZQJ0730+4049 , FSRQ
954 , 5BZQJ0731+2451 , FSRQ
955 , 5BZBJ0731+2804 , BL Lac
956 , 5BZQJ0732+2548 , FSRQ
957 , 5BZBJ0733+3515 , BL Lac Candidate
958 , 5BZBJ0733+4111 , BL Lac
959 , 5BZQJ0733+5022 , FSRQ
960 , 5BZQJ0733+0456 , FSRQ
961 , 5BZQJ0735+4750 , FSRQ
962 , 5BZQJ0735+7115 , FSRQ
963 , 5BZQJ0736+2604 , FSRQ
964 , 5BZBJ0737+2846 , BL Lac
965 , 5BZBJ0737+3216 , BL Lac
966 , 5BZGJ0737+3517 , BL Lac-galaxy dominated
967 , 5BZGJ0737+5941 , BL Lac-galaxy dominated
968 , 5BZBJ0738+1742 , BL Lac
969 , 5BZQJ0738-6735 , FSRQ
970 , 5BZQJ0739+0137 , FSRQ
971 , 5BZQJ0740+2852 , FSRQ
972 , 5BZBJ0740+3226 , BL Lac
973 , 5BZGJ0741+3205 , BL Lac-galaxy dominated
974 , 5BZQJ0741+3112 , FSRQ
975 , 5BZQJ0741+2557 , FSRQ
976 , 5BZQJ0741-4709 , FSRQ
977 , 5BZQJ0742+4900 , FSRQ
978 , 5BZQJ0742+3944 , FSRQ
979 , 5BZUJ0742+5444 , Blazar Uncertain type
980 , 5BZUJ0742+3744 , Blazar Uncertain type
981 , 5BZBJ0742+3018 , BL Lac
982 , 5BZBJ0743+1714 , BL Lac
983 , 5BZQJ0743-5619 , FSRQ
984 , 5BZQJ0743-6726 , FSRQ
985 , 5BZQJ0743+2328 , FSRQ
986 , 5BZBJ0744+7433 , BL Lac
987 , 5BZQJ0744+2920 , FSRQ
988 , 5BZGJ0745+3312 , BL Lac-galaxy dominated
989 , 5BZQJ0745+1011 , FSRQ
990 , 5BZQJ0745-0044 , FSRQ
991 , 5BZBJ0745+2226 , BL Lac
992 , 5BZQJ0745+3313 , FSRQ
993 , 5BZBJ0746-1555 , BL Lac
994 , 5BZQJ0746+2549 , FSRQ
995 , 5BZQJ0746-5618 , FSRQ
996 , 5BZQJ0747-6744 , FSRQ
997 , 5BZBJ0747+7639 , BL Lac Candidate
998 , 5BZUJ0747+0905 , Blazar Uncertain type
999 , 5BZQJ0748-5258 , FSRQ
1000 , 5BZQJ0748+2400 , FSRQ
1001 , 5BZGJ0748+2115 , BL Lac-galaxy dominated
1002 , 5BZQJ0749+4510 , FSRQ
1003 , 5BZGJ0749+2313 , BL Lac-galaxy dominated
1004 , 5BZQJ0749+7420 , FSRQ
1005 , 5BZBJ0749+7451 , BL Lac
1006 , 5BZQJ0750+1823 , FSRQ
1007 , 5BZQJ0750+4814 , FSRQ
1008 , 5BZQJ0750+1021 , FSRQ
1009 , 5BZQJ0750+1231 , FSRQ
1010 , 5BZQJ0750-6726 , FSRQ
1011 , 5BZGJ0751+2913 , BL Lac-galaxy dominated
1012 , 5BZQJ0751-0046 , FSRQ
1013 , 5BZGJ0751+1730 , BL Lac-galaxy dominated
1014 , 5BZBJ0751+3928 , BL Lac
1015 , 5BZQJ0751+3313 , FSRQ
1016 , 5BZQJ0752+3730 , FSRQ
1017 , 5BZBJ0753+5352 , BL Lac
1018 , 5BZGJ0753+2921 , BL Lac-galaxy dominated
1019 , 5BZGJ0754+4202 , BL Lac-galaxy dominated
1020 , 5BZBJ0754-1147 , BL Lac
1021 , 5BZGJ0754+4546 , BL Lac-galaxy dominated
1022 , 5BZGJ0754+3910 , BL Lac-galaxy dominated
1023 , 5BZBJ0754+4823 , BL Lac
1024 , 5BZQJ0754+3033 , FSRQ
1025 , 5BZBJ0755+3726 , BL Lac
1026 , 5BZBJ0756+4140 , BL Lac
1027 , 5BZGJ0756+3834 , BL Lac-galaxy dominated
1028 , 5BZQJ0756-1542 , FSRQ
1029 , 5BZBJ0757+0956 , BL Lac
1030 , 5BZGJ0758+2705 , BL Lac-galaxy dominated
1031 , 5BZBJ0800+6210 , BL Lac Candidate
1032 , 5BZBJ0800+1645 , BL Lac
1033 , 5BZQJ0800+5010 , FSRQ
1034 , 5BZBJ0801+6444 , BL Lac Candidate
1035 , 5BZBJ0801+4401 , BL Lac
1036 , 5BZBJ0801+1336 , BL Lac
1037 , 5BZBJ0802+1006 , BL Lac
1038 , 5BZQJ0802+1809 , FSRQ
1039 , 5BZBJ0803+2437 , BL Lac
1040 , 5BZBJ0803+4816 , BL Lac
1041 , 5BZUJ0804-1712 , Blazar Uncertain type
1042 , 5BZQJ0805+6144 , FSRQ
1043 , 5BZBJ0805+7534 , BL Lac
1044 , 5BZBJ0806+1330 , BL Lac
1045 , 5BZBJ0806+5931 , BL Lac
1046 , 5BZQJ0806+4504 , FSRQ
1047 , 5BZQJ0807+5117 , FSRQ
1048 , 5BZBJ0807-0541 , BL Lac
1049 , 5BZQJ0808+4752 , FSRQ
1050 , 5BZQJ0808-0751 , FSRQ
1051 , 5BZQJ0808+7315 , FSRQ
1052 , 5BZQJ0808+4950 , FSRQ
1053 , 5BZQJ0808+4052 , FSRQ
1054 , 5BZGJ0809+3122 , BL Lac-galaxy dominated
1055 , 5BZGJ0809+3455 , BL Lac-galaxy dominated
1056 , 5BZQJ0809+5341 , FSRQ
1057 , 5BZBJ0809+5218 , BL Lac
1058 , 5BZQJ0810+3847 , FSRQ
1059 , 5BZGJ0810+4911 , BL Lac-galaxy dominated
1060 , 5BZGJ0810+2846 , BL Lac-galaxy dominated
1061 , 5BZQJ0810+4134 , FSRQ
1062 , 5BZQJ0811+5714 , FSRQ
1063 , 5BZBJ0811-7530 , BL Lac
1064 , 5BZQJ0811+4533 , FSRQ
1065 , 5BZBJ0811+0146 , BL Lac
1066 , 5BZQJ0811+4831 , FSRQ
1067 , 5BZBJ0812+1141 , BL Lac
1068 , 5BZQJ0812-1810 , FSRQ
1069 , 5BZBJ0812+6509 , BL Lac
1070 , 5BZBJ0812+5554 , BL Lac
1071 , 5BZQJ0813+2542 , FSRQ
1072 , 5BZQJ0814+3237 , FSRQ
1073 , 5BZBJ0814-1012 , BL Lac Candidate
1074 , 5BZBJ0814+2940 , BL Lac
1075 , 5BZGJ0814+0857 , BL Lac-galaxy dominated
1076 , 5BZBJ0814+6431 , BL Lac
1077 , 5BZQJ0815+3635 , FSRQ
1078 , 5BZGJ0816-0735 , BL Lac-galaxy dominated
1079 , 5BZBJ0816+4910 , BL Lac
1080 , 5BZBJ0816+5739 , BL Lac
1081 , 5BZBJ0816-1311 , BL Lac
1082 , 5BZBJ0816+6208 , BL Lac Candidate
1083 , 5BZBJ0816+2051 , BL Lac
1084 , 5BZBJ0817-0933 , BL Lac
1085 , 5BZBJ0817+3243 , BL Lac
1086 , 5BZBJ0818+4222 , BL Lac
1087 , 5BZBJ0818+2814 , BL Lac
1088 , 5BZBJ0818+3153 , BL Lac
1089 , 5BZQJ0819+3226 , FSRQ
1090 , 5BZBJ0819-0756 , BL Lac Candidate
1091 , 5BZBJ0819+2747 , BL Lac
1092 , 5BZBJ0819+4037 , BL Lac
1093 , 5BZBJ0819+1429 , BL Lac
1094 , 5BZBJ0820+3640 , BL Lac
1095 , 5BZGJ0820+4853 , BL Lac-galaxy dominated
1096 , 5BZBJ0820+2353 , BL Lac
1097 , 5BZBJ0820-1258 , BL Lac
1098 , 5BZQJ0821-0323 , FSRQ
1099 , 5BZQJ0821+5031 , FSRQ
1100 , 5BZQJ0822+4041 , FSRQ
1101 , 5BZBJ0823+1125 , BL Lac
1102 , 5BZGJ0823+1524 , BL Lac-galaxy dominated
1103 , 5BZBJ0823+2223 , BL Lac
1104 , 5BZQJ0823+2928 , FSRQ
1105 , 5BZQJ0824+5552 , FSRQ
1106 , 5BZQJ0824-1527 , FSRQ
1107 , 5BZQJ0824+3916 , FSRQ
1108 , 5BZQJ0825+1332 , FSRQ
1109 , 5BZQJ0825+6157 , FSRQ
1110 , 5BZQJ0825+2704 , FSRQ
1111 , 5BZBJ0825+0309 , BL Lac
1112 , 5BZBJ0826-2230 , BL Lac
1113 , 5BZBJ0826+4130 , BL Lac
1114 , 5BZBJ0827+0841 , BL Lac Candidate
1115 , 5BZQJ0827+3525 , FSRQ
1116 , 5BZBJ0828+2312 , BL Lac
1117 , 5BZGJ0828+4153 , BL Lac-galaxy dominated
1118 , 5BZGJ0829+1754 , BL Lac-galaxy dominated
1119 , 5BZGJ0830+3923 , BL Lac-galaxy dominated
1120 , 5BZQJ0830-0636 , FSRQ
1121 , 5BZQJ0830+2410 , FSRQ
1122 , 5BZGJ0831+5400 , BL Lac-galaxy dominated
1123 , 5BZQJ0831-2228 , FSRQ
1124 , 5BZBJ0831+1746 , BL Lac
1125 , 5BZGJ0831+4608 , BL Lac-galaxy dominated
1126 , 5BZBJ0831+0429 , BL Lac
1127 , 5BZQJ0831+0847 , FSRQ
1128 , 5BZBJ0832+4913 , BL Lac
1129 , 5BZBJ0832+3300 , BL Lac
1130 , 5BZQJ0833+0350 , FSRQ
1131 , 5BZQJ0833-7305 , FSRQ
1132 , 5BZQJ0833+4224 , FSRQ
1133 , 5BZBJ0833+4726 , BL Lac
1134 , 5BZQJ0834+6019 , FSRQ
1135 , 5BZBJ0834+1825 , BL Lac
1136 , 5BZQJ0834-2241 , FSRQ
1137 , 5BZGJ0834+5534 , BL Lac-galaxy dominated
1138 , 5BZBJ0834+4403 , BL Lac
1139 , 5BZBJ0835+0937 , BL Lac
1140 , 5BZQJ0835+6835 , FSRQ
1141 , 5BZGJ0835+1517 , BL Lac-galaxy dominated
1142 , 5BZQJ0836+0053 , FSRQ
1143 , 5BZQJ0836+2728 , FSRQ
1144 , 5BZQJ0836+4125 , FSRQ
1145 , 5BZQJ0836-2016 , FSRQ
1146 , 5BZQJ0836-2233 , FSRQ
1147 , 5BZQJ0837+5825 , FSRQ
1148 , 5BZBJ0837+1458 , BL Lac
1149 , 5BZQJ0837+2454 , FSRQ
1150 , 5BZBJ0837+1759 , BL Lac
1151 , 5BZGJ0839+4015 , BL Lac-galaxy dominated
1152 , 5BZBJ0839+3618 , BL Lac
1153 , 5BZBJ0839+1802 , BL Lac
1154 , 5BZBJ0839+3540 , BL Lac
1155 , 5BZQJ0839+5112 , FSRQ
