id , BZCAT5 Source name , Source classification
134 , 5BZQJ0049+5128 , FSRQ
135 , 5BZBJ0049+0237 , BL Lac
136 , 5BZQJ0049-5738 , FSRQ
137 , 5BZQJ0050-0452 , FSRQ
138 , 5BZBJ0050-0929 , BL Lac
139 , 5BZQJ0051-0650 , FSRQ
140 , 5BZQJ0051-4226 , FSRQ
141 , 5BZBJ0051-6242 , BL Lac
142 , 5BZQJ0052+4402 , FSRQ
143 , 5BZQJ0052-2825 , FSRQ
144 , 5BZBJ0054-2455 , BL Lac
145 , 5BZGJ0056-0936 , BL Lac-galaxy dominated
146 , 5BZBJ0056-2117 , BL Lac
147 , 5BZBJ0056+1625 , BL Lac Candidate
148 , 5BZQJ0057-0024 , FSRQ
149 , 5BZBJ0057-2212 , BL Lac
150 , 5BZBJ0058-3234 , BL Lac
151 , 5BZQJ0058-0539 , FSRQ
152 , 5BZBJ0058+1723 , BL Lac
153 , 5BZUJ0058+3311 , Blazar Uncertain type
154 , 5BZQJ0058+0620 , FSRQ
155 , 5BZUJ0058-5659 , Blazar Uncertain type
156 , 5BZBJ0058-5219 , BL Lac
157 , 5BZQJ0059+0006 , FSRQ
158 , 5BZGJ0059-0150 , BL Lac-galaxy dominated
159 , 5BZQJ0100-3337 , FSRQ
160 , 5BZUJ0100+0745 , Blazar Uncertain type
161 , 5BZQJ0100+3345 , FSRQ
162 , 5BZBJ0100-0055 , BL Lac
163 , 5BZQJ0102-8012 , FSRQ
164 , 5BZQJ0102-7546 , FSRQ
165 , 5BZQJ0102+4214 , FSRQ
166 , 5BZUJ0102+5824 , Blazar Uncertain type
167 , 5BZQJ0102-2646 , FSRQ
168 , 5BZGJ0103+1526 , BL Lac-galaxy dominated
169 , 5BZGJ0103+4322 , BL Lac-galaxy dominated
170 , 5BZUJ0103-6439 , Blazar Uncertain type
171 , 5BZQJ0104-2416 , FSRQ
172 , 5BZBJ0105+3928 , BL Lac
173 , 5BZUJ0106+3402 , Blazar Uncertain type
174 , 5BZGJ0106+2539 , BL Lac-galaxy dominated
175 , 5BZQJ0106-0155 , FSRQ
176 , 5BZQJ0106-2718 , FSRQ
177 , 5BZQJ0106-1034 , FSRQ
178 , 5BZQJ0106-4034 , FSRQ
179 , 5BZQJ0107+2611 , FSRQ
180 , 5BZQJ0108-0037 , FSRQ
181 , 5BZQJ0108+0135 , FSRQ
182 , 5BZBJ0109+1816 , BL Lac
183 , 5BZQJ0109+6133 , FSRQ
184 , 5BZGJ0110+4149 , BL Lac-galaxy dominated
185 , 5BZBJ0110-0047 , BL Lac
186 , 5BZUJ0110+6805 , Blazar Uncertain type
187 , 5BZBJ0110-0415 , BL Lac
188 , 5BZQJ0110-1648 , FSRQ
189 , 5BZBJ0110-1255 , BL Lac
190 , 5BZQJ0110-0741 , FSRQ
191 , 5BZBJ0111+0536 , BL Lac Candidate
192 , 5BZUJ0111+3906 , Blazar Uncertain type
193 , 5BZQJ0111-1317 , FSRQ
194 , 5BZBJ0112+2244 , BL Lac
195 , 5BZQJ0112+2020 , FSRQ
196 , 5BZQJ0112+3522 , FSRQ
197 , 5BZQJ0112+3818 , FSRQ
198 , 5BZQJ0112-6634 , FSRQ
199 , 5BZBJ0112-3201 , BL Lac
200 , 5BZQJ0112+3208 , FSRQ
201 , 5BZQJ0113-3551 , FSRQ
202 , 5BZQJ0113+4948 , FSRQ
203 , 5BZGJ0113+0222 , BL Lac-galaxy dominated
204 , 5BZQJ0113+1324 , FSRQ
205 , 5BZBJ0114+1325 , BL Lac
206 , 5BZBJ0115-3400 , BL Lac
207 , 5BZQJ0115-0127 , FSRQ
208 , 5BZQJ0115-2804 , FSRQ
209 , 5BZBJ0115+0356 , BL Lac
210 , 5BZBJ0115+2519 , BL Lac
211 , 5BZQJ0115-3049 , FSRQ
212 , 5BZQJ0116-1136 , FSRQ
213 , 5BZBJ0116-6153 , BL Lac
214 , 5BZQJ0117+1418 , FSRQ
215 , 5BZQJ0117-3357 , FSRQ
216 , 5BZBJ0117-2443 , BL Lac
217 , 5BZQJ0117-2111 , FSRQ
218 , 5BZQJ0118-2141 , FSRQ
219 , 5BZBJ0120-2701 , BL Lac
220 , 5BZQJ0121-2806 , FSRQ
221 , 5BZQJ0121+1127 , FSRQ
222 , 5BZQJ0121+1149 , FSRQ
223 , 5BZQJ0121+0422 , FSRQ
224 , 5BZQJ0122+0310 , FSRQ
225 , 5BZBJ0122+1510 , BL Lac
226 , 5BZQJ0122+2502 , FSRQ
227 , 5BZQJ0122-0935 , FSRQ
228 , 5BZBJ0123+3420 , BL Lac
229 , 5BZBJ0123-2310 , BL Lac Candidate
