id , Source name , Counterpart name , Class , RA (J2000.0) , Dec (J2000.0) , Significance , Flux 10-2000 GeV (ph/cm2/s) , Flux 10-2000 GeV Error , Spectral Index , Spectral Index Error , Log Nu peak (Hz) , Redshift , TeV Cat , Prev. Fermi Assoc.
957 , 3FHL J1443.9+2502  , PKS 1441+25  , fsrq  , 220.9844970703125 , 25.04429054260254 , 17.61 , 2.029e-10 , 2.702e-11 , 2.411 , 0.41 , 0 , 0.939 , PKS 1441+25  , 3FGL J1443.9+2502 
958 , 3FHL J1443.9-3908  , PKS 1440-389  , bll  , 220.9951629638672 , -39.14383316040039 , 36.06 , 5.535e-10 , 4.327e-11 , 1.892 , 0.152 , 15.65 , 0.0654 , PKS 1440-389  , 3FGL J1444.0-3907 
959 , 3FHL J1445.0-0326  , RBS 1424  , bll  , 221.2655792236328 , -3.4482696056365967 , 12.14 , 1.227e-10 , 2.259e-11 , 2.012 , 0.4 , 16 , 0.000 ,   , 3FGL J1445.0-0328 
960 , 3FHL J1447.0-2657  , 1RXS J144652.0-265705  , unknown , 221.7675018310547 , -26.9639835357666 , 5.89 , 3.034e-11 , 1.098e-11 , 1.376 , 0.733 , 0 , 0.000 ,   , 2FHL J1447.0-2658 
961 , 3FHL J1447.9+3608  , RBS 1432  , bll  , 221.99847412109375 , 36.13825988769531 , 20.71 , 1.941e-10 , 2.500e-11 , 2.115 , 0.302 , 15.45 , 0.000 ,   , 3FGL J1448.0+3608 
962 , 3FHL J1449.5+2745  , B2.2 1447+27  , bll  , 222.3851776123047 , 27.756338119506836 , 4.73 , 2.026e-11 , 8.866e-12 , 1.375 , 0.736 , 0 , 0.227 ,   ,  
963 , 3FHL J1450.9+5202  , SDSS J145059.99+520111.7  , bll  , 222.73013305664062 , 52.03765869140625 , 6.96 , 3.700e-11 , 1.170e-11 , 2.943 , 0.939 , 13.92 , 2.471 ,   , 3FGL J1450.9+5200 
964 , 3FHL J1451.2+6355  , RX J1451.4+6354  , bll  , 222.82040405273438 , 63.93077087402344 , 8.18 , 3.767e-11 , 1.031e-11 , 1.194 , 0.452 , 1 , 0.65 ,   , 3FGL J1451.2+6355 
965 , 3FHL J1451.8-4145  ,   ,   , 222.953125 , -41.76240921020508 , 4.06 , 2.575e-11 , 1.110e-11 , 2.354 , 0.638 , 0 , 0.000 ,   ,  
966 , 3FHL J1454.5+5124  , TXS 1452+516  , bll  , 223.6322479248047 , 51.41386795043945 , 21.89 , 2.006e-10 , 2.483e-11 , 2.358 , 0.338 , 14.37 , 0.000 ,   , 3FGL J1454.5+5124 
