energy,area
2.199325950890708, 0.0018738174228603867
2.346653827636014, 0.005967021130238468
2.4795377948964856, 0.01541270222508748
2.6239768897448243, 0.036105699024829525
2.76263842079923, 0.07459801523487941
2.904188733750602, 0.1457593300969294
3.0399614829080406, 0.2731263722800847
3.1844005777563793, 0.5046965116884385
3.323062108810785, 0.8819714875603578
3.4675012036591237, 1.498847941357695
3.606162734713529, 2.477076355991709
3.7477130476649014, 4.093749008225003
3.8834857968223404, 6.3095734448019165
4.027924891670679, 9.589990607459951
4.163697640828118, 13.978306065792133
4.29658160808859, 20.661008441791683
4.443909484833895, 29.6980047740645
4.5825710158883, 40.3701725859655
4.721232546942706, 54.87745210560125
4.862782859894079, 71.53942654376486
5.004333172845451, 93.2603346883218
5.142994703899856, 119.8913578187811
5.28165623495426, 154.1270222508748
5.4260953298026, 192.68525622797384
5.703418391911411, 284.8035868435799
5.842079922965816, 346.2533145238914
5.986519017814155, 387.1495759209475
6.122291766971594, 470.68165596092393
6.258064516129032, 541.1695265464626
6.399614829080406, 613.5907273413163
6.541165142031776, 695.7035867889383
6.679826673086183, 799.8900656338774
6.818488204140587, 906.9341548063785
6.962927298988927, 999.999999999999
7.1131439576312, 1087.3356727196547
7.246027924891671, 1250.1717960549256
7.384689455946075, 1397.8306065792103
7.517573423206548, 1562.9295196512019
7.667790081848821, 1699.4290206633477
7.806451612903226, 1747.5284000076813
7.950890707751565, 2066.1008441791664
