x,y
-0.9949968789307437, 1.2250276652876147e-8
-0.9846597093484653, 1.5432981942060036e-8
-0.953674863002312, 2.159466665943666e-8
-0.9226947217856909, 2.8371842349768303e-8
-0.8772745380346989, 3.356107522626878e-8
-0.8421852503599425, 3.427318043016713e-8
-0.8050319791970542, 3.50003952161632e-8
-0.7720145168929836, 3.218094434039783e-8
-0.7286755687717418, 3.021643062130995e-8
-0.6812086536742359, 2.8371842349768303e-8
-0.6399352574176368, 2.6086353421255044e-8
-0.5800907148973813, 2.252078822105176e-8
-0.5800907148973813, 2.252078822105176e-8
-0.524378844482922, 1.8255686801648757e-8
-0.46660612733335227, 1.4189780710088852e-8
-0.4078045551927376, 1.0575870137676174e-8
-0.36551641933369106, 7.718590381296864e-9
-0.3304459521770635, 6.126804780573335e-9
-0.2891945131916147, 4.198559420434872e-9
-0.25826299164682665, 2.877176903500547e-9
-0.23145630032528142, 2.05622156137484e-9
-0.20671202411535727, 1.5006927807200182e-9
-0.1716541039708157, 1.0070232872933539e-9
-0.1469255115259991, 5.957663747424846e-10
-0.13458395676299584, 3.3796784299456723e-10
-0.12430168035859346, 2.0418808455775613e-10
-0.11197424098418751, 9.588770360733068e-11
-0.08414496817764072, 6.041642386700064e-11
-0.05011590302414359, 4.228047109462786e-11
0.009732560437388571, 3.846860015957879e-11
0.048950599276664564, 3.969942298627181e-11
0.10673586343832042, 3.650144272877084e-11
0.160395513188478, 3.4634879245793856e-11
0.21405829969165713, 3.42731804301672e-11
0.29454895059927666, 3.218094434039789e-11
0.3832971038359352, 3.085756852716066e-11
0.4617253396319334, 2.958861384975265e-11
0.5318992098519137, 2.8973841434876334e-11
0.6227129149532156, 2.837184234976842e-11
0.7176545870307811, 2.7782351198732188e-11
0.8167257944611215, 2.7782351198732188e-11
0.9054817895803342, 2.958861384975265e-11
0.9570860819131684, 3.1512310217636775e-11
0.9942456265820996, 3.50003952161632e-11
