id , BZCAT5 Source name , Other name , BZCAT name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density 5.0GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
26 , 5BZQJ0009+0625 , CRATESJ000917+062549 , BZBJ0009+0625  , 2.32104 , 6.43186 , 2.694 ,  , 19 , QSO RLoud flat radio sp. , 180 , 156 ,  , 0.08 , 5e-10
27 , 5BZBJ0009+5030 , 2FGLJ0009.1+5030 ,  , 2.34488 , 50.50794 ,  ,  , 19.4 , BL Lac , 12 ,  ,  , 0.24 , 2.2e-9
28 , 5BZQJ0010+2047 , 1WGAJ0010.4+2048 , BZQJ0010+2047  , 2.61979 , 20.79725 , 0.6 ,  , 19.3 , QSO RLoud flat radio sp. , 159 , 121 ,  , 0.51 , 
29 , 5BZQJ0010+1058 , III ZW 2  , BZQJ0010+1058  , 2.62917 , 10.97489 , 0.089 ,  , 15.8 , QSO RLoud flat radio sp. , 98 , 435 , 1404 , 6.14 , 
30 , 5BZQJ0010+1724 , PKS 0008+171  , BZQJ0010+1724  , 2.64163 , 17.40528 , 1.601 ,  , 16.7 , QSO RLoud flat radio sp. , 918 , 989 ,  , 0.65 , 
31 , 5BZQJ0010-3027 , PKS0008-307  , BZQJ0010-3027  , 2.64883 , -30.46317 , 1.19 ,  , 18.8 , QSO RLoud flat radio sp. , 315 , 391 ,  , 0.17 , 
32 , 5BZQJ0010-2945 , PKS0008-300  ,  , 2.68825 , -29.75367 , 2.344 ,  , 18.8 , QSO RLoud flat radio sp. , 404 , 302 ,  ,  , 
33 , 5BZQJ0011-2612 , PKS 0008-264  , BZQJ0011-2612  , 2.75508 , -26.20889 , 1.096 ,  , 18.8 , QSO RLoud flat radio sp. , 210 , 294 ,  ,  , 
34 , 5BZQJ0011-3620 , 1WGAJ0011.2-3620 , BZQJ0011-3620  , 2.81133 , -36.34428 , 2.324 ,  , 21.3 , QSO RLoud flat radio sp. , 66 , 96 ,  , 0.02 , 
35 , 5BZQJ0011+0057 , 1RXSJ001129.6+005802 , BZQJ0011+0057  , 2.87667 , 0.96444 , 1.492 ,  , 20.7 , QSO RLoud flat radio sp. , 167 , 140 ,  , 0.28 , 5e-10
36 , 5BZGJ0012-1628 , BZUJ0012-1628  , BZUJ0012-1628  , 3.14108 , -16.46869 , 0.151 ,  , 15 , BL Lac-galaxy dominated , 94 , 50 ,  , 0.9 , 
37 , 5BZQJ0012+3353 , GC0010+33  , BZQJ0012+3353  , 3.19733 , 33.89406 , 1.682 ,  , 20.4 , QSO RLoud flat radio sp. , 81 , 77 ,  ,  , 
38 , 5BZBJ0012-3954 , PKS0010-401  , BZBJ0012-3954  , 3.2495 , -39.90717 ,  ,  , 18.9 , BL Lac , 494 , 921 , 257 ,  , 5e-10
39 , 5BZQJ0013-1513 , CGRaBSJ0013-1513 , BZQJ0013-1513  , 3.33625 , -15.22978 , 1.838 ,  , 19.2 , QSO RLoud flat radio sp. , 117 , 182 ,  ,  , 
40 , 5BZQJ0013-0423 , PKS 0011-046  , BZQJ0013-0423  , 3.47546 , -4.39781 , 1.075 ,  , 19.7 , QSO RLoud flat radio sp. , 303 , 323 ,  , 0.3 , 
41 , 5BZGJ0013-1854 , A0011-1910  , BZBJ0013-1854  , 3.4835 , -18.90181 , 0.095 ,  , 13.4 , BL Lac-galaxy dominated , 29 ,  ,  , 6.49 , 
42 , 5BZBJ0013+1910 , CRATESJ001356+191036 , BZBJ0013+1910  , 3.48483 , 19.17833 , 0.477 ,  , 17.7 , BL Lac , 161 , 244 ,  ,  , 
43 , 5BZBJ0014-5022 , BZBJ0014-5022  , BZBJ0014-5022  , 3.54763 , -50.37636 ,  ,  , 18.7 , BL Lac , 13 ,  ,  , 6.98 , 6e-10
44 , 5BZGJ0014+0854 , 2E0011.7+0837  , BZUJ0014+0854  , 3.58233 , 8.90039 , 0.162 ,  , 17.2 , BL Lac-galaxy dominated , 324 , 179 ,  , 0.67 , 
45 , 5BZQJ0014-3059 , PKS0012-312  , BZQJ0014-3059  , 3.65813 , -30.98867 , 2.785 ,  , 19.3 , QSO RLoud flat radio sp. , 193 , 140 ,  , 0.12 , 
46 , 5BZBJ0014+5802 , 1RXSJ001442.2+580201 ,  , 3.67554 , 58.03367 ,  ,  , 19 , BL Lac , 8 , 7 ,  , 1.28 , 
47 , 5BZQJ0015-1812 , PKS0012-184  , BZQJ0015-1812  , 3.76033 , -18.21408 , 0.743 ,  , 19.6 , QSO RLoud flat radio sp. , 387 , 324 ,  , 0.48 , 
