x,flux
-0.9552797300249336, 4.684038304782717e-12
-0.9315505110995608, 4.351972389606021e-12
-0.7602229328150776, 5.257786169893574e-12
-0.4279470143800892, 3.959385034532456e-12
-0.25152727245335305, 2.2453154888566443e-12
-0.20308109797895324, 1.1830216722875174e-12
-0.16593975277394857, 1.0539262437321609e-12
-0.15874688330960507, 7.451827169318388e-13
-0.1371127206164835, 4.895319274400661e-13
-0.12061497668602583, 4.1816758527158027e-13
-0.09066555934705822, 5.324482111189469e-13
-0.09686127620468077, 5.10539321748161e-13
-0.10104291428442291, 2.8053864868904986e-13
-0.056646554126836834, 3.534741544193399e-13
-0.057705852221795695, 2.6065039905107337e-13
-0.04430784991676284, 2.1349099536161802e-13
0.10748721309499598, 5.976677939946172e-13
0.09928212545102544, 1.0539262437321609e-12
0.08681536387124944, 4.1816758527158027e-13
0.1063789518880931, 2.5523151982311587e-13
0.1311608777202775, 2.9878924680716725e-13
0.16727776396766947, 2.8952017467199306e-13
0.18275104894051375, 2.6899519696922596e-13
0.2147597417760807, 3.249835016808621e-13
0.20339747500998095, 2.8952017467199306e-13
0.16732672707961393, 4.99925292628133e-13
0.24885501645913832, 5.052044336930515e-13
0.24575150844048732, 4.644840474856561e-13
0.2777564348828274, 5.380707896476044e-13
0.3045882202285446, 5.380707896476044e-13
0.30461929297266366, 7.610038629588396e-13
0.36137130610984314, 6.996655825750386e-13
0.3045543226895058, 3.686428707448274e-13
0.28596623051833103, 3.2158758186162283e-13
0.347887618358907, 3.2841528193772e-13
0.36440701905041695, 3.5720679197839215e-13
0.37473352767922385, 3.8446252562434517e-13
0.38711742860801635, 3.8446252562434517e-13
0.42737734740457856, 4.4071779239582284e-13
0.4233002267368726, 7.77160911383897e-13
0.40373758031833584, 1.2867348130251531e-12
0.423219249282502, 3.1490182855503804e-13
0.45522323412653565, 3.6097884566723076e-13
0.4727736849638049, 3.8852239604273646e-13
0.48205690266886614, 3.686428707448289e-13
0.4872404013468623, 4.79354638616861e-13
0.5089414175197549, 6.63865793964282e-13
0.5017438400638781, 8.908765311917523e-13
0.5264984595451705, 7.690399571568132e-13
0.5017221833028256, 6.996655825750386e-13
0.5543057407365555, 4.0947394946713683e-13
0.5873398341280422, 4.596304146876275e-13
0.5997152606720753, 4.1816758527158027e-13
0.6306768961906699, 4.2704579766166157e-13
0.6183165352195434, 5.552972816139192e-13
0.6049044089399112, 5.791268794382716e-13
0.6173099666297559, 7.373959193119784e-13
0.6596498760856631, 1.0105598599286146e-12
0.6627402017280213, 9.488330003614057e-13
0.6926547799296441, 8.190702801102865e-13
0.6822708338041323, 4.0096105293126015e-13
0.7049981921312511, 5.21378699766965e-13
0.759685280181992, 4.743456153608973e-13
0.7916807906412662, 4.947013160244159e-13
0.7989263896107808, 6.298977731244313e-13
0.8268344218209762, 1.0320152892477197e-12
0.8227139876311647, 1.1224900028091235e-12
0.8515626765496824, 6.63865793964282e-13
0.9073504930208731, 1.3003225524159604e-12
0.8795385038379551, 2.3171999136847656e-12
0.9475520327224247, 7.77160911383897e-13
0.9403375064970283, 8.632396636692761e-13
0.937248122452977, 9.29106917243265e-13
0.00021374281560526676, 1.0876679972710043e-12
-0.031854270713279176, 4.644840474856561e-13
-0.03602743440826206, 2.8053864868904986e-13
-0.026755515882880054, 2.3465940016944635e-13
0.03212921741881547, 4.644840474856561e-13
0.047589320015366976, 3.7253568782357366e-13
0.06098543912378629, 2.9878924680716725e-13
0.0857400586050785, 2.579267289218143e-13
0.07850387561862937, 2.250037628121084e-13
0.03617997333393563, 1.9628323706983655e-13
0.00007438626622380262, 2.2978086956349947e-13
0.012458287195016293, 2.2978086956349947e-13
0.007350116381550809, 4.0947394946713683e-13
0.011488440939187772, 4.596304146876275e-13
0.00009321823235630688, 2.8350109752376787e-13
0.027946637740766667, 2.525644743510259e-13
-0.0029886330252424376, 3.318833013133974e-13
-0.02259082657265754, 3.5347415441934135e-13
-0.0246614012489359, 3.2841528193772134e-13
0.18690914706258988, 3.7646961250539913e-13
0.1868997310795235, 3.3892959218232756e-13
0.1992798656150898, 3.249835016808621e-13
0.6389846180500629, 7.610038629588396e-13
0.6472358440110582, 7.220655785778529e-13
0.6472377272076715, 7.373959193119844e-13
0.671973514722831, 5.159305454738694e-13
0.65650493774152, 5.85242378166033e-13
0.6626931218126897, 5.61161143126498e-13
0.028976746288219557, 2.473137001770256e-13
