id , Source Name , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , 0.1-100 GeV Energy Flux (erg cm-2 s-1) , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s)
27 , 4FGL J0008.0+4711 , 2.053e-9 , 8.996e-11 , 1.827e-11 , 1.117e-12 , LogParabola , 1.370e-9 , 5.235e-10 , 1.239e-10 , 2.165e-11 , 3.301e-12 , 3.531e-12 , 2.882e-12 , 9.244e-13
28 , 4FGL J0008.0-3937 , 1.608e-10 , 3.764e-11 , 1.372e-12 , 3.957e-13 , LogParabola , 1.311e-10 , 6.364e-12 , <6.738e-12 , <4.321e-12 , 2.756e-13 , 3.322e-14 , 2.556e-16 , 3.776e-19
29 , 4FGL J0008.4+6926 , 3.218e-10 , 7.003e-11 , 4.141e-12 , 1.195e-12 , PowerLaw , 3.052e-10 , 4.314e-11 , 2.407e-11 , <3.534e-12 , 7.072e-13 , 2.837e-13 , 5.578e-13 , 2.182e-17
30 , 4FGL J0008.4-2339 , 1.955e-10 , 3.621e-11 , 2.693e-12 , 4.951e-13 , PowerLaw , 9.104e-11 , 3.996e-11 , 5.313e-11 , 7.262e-12 , 2.257e-13 , 2.848e-13 , 1.317e-12 , 4.428e-13
31 , 4FGL J0008.4+1455 , 3.274e-10 , 4.548e-11 , 3.748e-12 , 5.131e-13 , PowerLaw , 2.766e-10 , 7.350e-11 , 2.412e-11 , <4.694e-12 , 6.519e-13 , 4.930e-13 , 5.684e-13 , 2.405e-17
32 , 4FGL J0008.9+2509 , 1.292e-10 , 3.385e-11 , 3.354e-12 , 5.607e-13 , PowerLaw , 1.338e-10 , 1.174e-12 , <8.735e-12 , <4.793e-12 , 2.958e-13 , 7.301e-15 , 1.792e-15 , 4.843e-18
33 , 4FGL J0009.1-5012 , 1.730e-10 , 3.217e-11 , 2.303e-12 , 3.961e-13 , PowerLaw , 1.381e-10 , 3.587e-11 , 6.949e-13 , <4.348e-12 , 3.190e-13 , 2.349e-13 , 1.605e-14 , 7.886e-17
34 , 4FGL J0009.1+0628 , 4.597e-10 , 5.201e-11 , 5.131e-12 , 5.726e-13 , PowerLaw , 2.792e-10 , 1.140e-10 , 2.825e-11 , 9.659e-12 , 6.632e-13 , 7.720e-13 , 6.710e-13 , 4.921e-13
35 , 4FGL J0009.2+6847 , 7.533e-10 , 1.007e-10 , 7.194e-12 , 1.470e-12 , LogParabola , 6.529e-10 , 4.884e-11 , 1.844e-12 , <4.010e-12 , 1.420e-12 , 2.718e-13 , 3.495e-14 , 4.181e-17
36 , 4FGL J0009.2+1745 , 1.417e-10 , 3.550e-11 , 2.173e-12 , 4.942e-13 , PowerLaw , 1.905e-10 , 1.819e-11 , <6.757e-12 , <4.861e-12 , 4.347e-13 , 1.175e-13 , 1.945e-17 , 1.830e-16
37 , 4FGL J0009.3+5030 , 2.810e-9 , 9.975e-11 , 2.582e-11 , 1.185e-12 , LogParabola , 1.846e-9 , 6.889e-10 , 1.667e-10 , 4.907e-11 , 4.470e-12 , 4.684e-12 , 3.911e-12 , 2.184e-12
38 , 4FGL J0009.7-1418 , 2.384e-10 , 3.851e-11 , 3.149e-12 , 4.393e-13 , PowerLaw , 1.605e-10 , 2.623e-11 , 1.200e-11 , <5.143e-12 , 3.709e-13 , 1.719e-13 , 2.774e-13 , 5.312e-17
39 , 4FGL J0009.7-3217 , 1.834e-10 , 3.338e-11 , 2.099e-12 , 3.759e-13 , PowerLaw , 1.773e-10 , 1.976e-11 , 1.439e-11 , <4.861e-12 , 4.179e-13 , 1.326e-13 , 3.391e-13 , 1.471e-17
